"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Rapid object detection using a boosted cascade of simple features","P. Viola; M. Jones","Mitsubishi Electr. Res. Labs., Cambridge, MA, USA; NA","Proceedings of the 2001 IEEE Computer Society Conference on Computer Vision and Pattern Recognition. CVPR 2001","","2001","1","","I","I","This paper describes a machine learning approach for visual object detection which is capable of processing images extremely rapidly and achieving high detection rates. This work is distinguished by three key contributions. The first is the introduction of a new image representation called the ""integral image"" which allows the features used by our detector to be computed very quickly. The second is a learning algorithm, based on AdaBoost, which selects a small number of critical visual features from a larger set and yields extremely efficient classifiers. The third contribution is a method for combining increasingly more complex classifiers in a ""cascade"" which allows background regions of the image to be quickly discarded while spending more computation on promising object-like regions. The cascade can be viewed as an object specific focus-of-attention mechanism which unlike previous approaches provides statistical guarantees that discarded regions are unlikely to contain the object of interest. In the domain of face detection the system yields detection rates comparable to the best previous systems. Used in real-time applications, the detector runs at 15 frames per second without resorting to image differencing or skin color detection.","1063-6919","0-7695-1272-0","10.1109/CVPR.2001.990517","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=990517","","Object detection;Face detection;Pixel;Detectors;Filters;Machine learning;Image representation;Focusing;Skin;Robustness","object detection;image classification;image representation;learning (artificial intelligence);feature extraction","rapid object detection;boosted simple feature cascade;machine learning;visual object detection;image processing;image representation;integral image;AdaBoost;classifiers;background regions;object specific focus-of-attention mechanism;statistical guarantees;face detection;real-time applications","","6681","","17","","","","","IEEE","IEEE Conferences"
"Recent advances in augmented reality","R. Azuma; Y. Baillot; R. Behringer; S. Feiner; S. Julier; B. MacIntyre","NA; NA; NA; NA; NA; NA","IEEE Computer Graphics and Applications","","2001","21","6","34","47","In 1997, Azuma published a survey on augmented reality (AR). Our goal is to complement, rather than replace, the original survey by presenting representative examples of the new advances. We refer one to the original survey for descriptions of potential applications (such as medical visualization, maintenance and repair of complex equipment, annotation, and path planning); summaries of AR system characteristics (such as the advantages and disadvantages of optical and video approaches to blending virtual and real, problems in display focus and contrast, and system portability); and an introduction to the crucial problem of registration, including sources of registration error and error-reduction strategies.","1558-1756","","10.1109/38.963459","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=963459","","Augmented reality;Liquid crystal displays;Head;Retina;Virtual environment;Calibration;Cameras;Optical modulation;Laser beams;Lenses","augmented reality","augmented reality;medical visualization;complex equipment maintenance;complex equipment repair;annotation;path planning;registration;error reduction strategies","","1399","","88","","","","","IEEE","IEEE Magazines"
"Active contours without edges","T. F. Chan; L. A. Vese","Dept. of Math., California Univ., Los Angeles, CA, USA; NA","IEEE Transactions on Image Processing","","2001","10","2","266","277","We propose a new model for active contours to detect objects in a given image, based on techniques of curve evolution, Mumford-Shah (1989) functional for segmentation and level sets. Our model can detect objects whose boundaries are not necessarily defined by the gradient. We minimize an energy which can be seen as a particular case of the minimal partition problem. In the level set formulation, the problem becomes a ""mean-curvature flow""-like evolving the active contour, which will stop on the desired boundary. However, the stopping term does not depend on the gradient of the image, as in the classical active contour models, but is instead related to a particular segmentation of the image. We give a numerical algorithm using finite differences. Finally, we present various experimental results and in particular some examples for which the classical snakes methods based on the gradient are not applicable. Also, the initial curve can be anywhere in the image, and interior contours are automatically detected.","1941-0042","","10.1109/83.902291","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=902291","","Active contours;Level set;Object detection;Image segmentation;Finite difference methods;Image edge detection;Partial differential equations;Helium;Two-term control;Mathematics","object detection;image segmentation;functional equations;finite difference methods","active contours;object detection;curve evolution;Mumford-Shah functional;image segmentation;level sets;minimal partition problem;mean-curvature flow;stopping term;numerical algorithm;finite differences;experimental results;initial curve","","6136","","29","","","","","IEEE","IEEE Journals"
"Factor graphs and the sum-product algorithm","F. R. Kschischang; B. J. Frey; H. -. Loeliger","Dept. of Electr. & Comput. Eng., Toronto Univ., Ont., Canada; NA; NA","IEEE Transactions on Information Theory","","2001","47","2","498","519","Algorithms that must deal with complicated global functions of many variables often exploit the manner in which the given functions factor as a product of ""local"" functions, each of which depends on a subset of the variables. Such a factorization can be visualized with a bipartite graph that we call a factor graph, In this tutorial paper, we present a generic message-passing algorithm, the sum-product algorithm, that operates in a factor graph. Following a single, simple computational rule, the sum-product algorithm computes-either exactly or approximately-various marginal functions derived from the global function. A wide variety of algorithms developed in artificial intelligence, signal processing, and digital communications can be derived as specific instances of the sum-product algorithm, including the forward/backward algorithm, the Viterbi algorithm, the iterative ""turbo"" decoding algorithm, Pearl's (1988) belief propagation algorithm for Bayesian networks, the Kalman filter, and certain fast Fourier transform (FFT) algorithms.","1557-9654","","10.1109/18.910572","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=910572","","Graph theory","graph theory;message passing;functional analysis;artificial intelligence;signal processing;digital communication;iterative decoding;Viterbi decoding;belief networks;Kalman filters;fast Fourier transforms;hidden Markov models;turbo codes","sum-product algorithm;factor graphs;global functions;local functions;factorization;bipartite graph;generic message-passing algorithm;computational rule;marginal functions;global function;artificial intelligence;signal processing;digital communications;forward/backward algorithm;Viterbi algorithm;iterative turbo decoding algorithm;belief propagation algorithm;Bayesian networks;Kalman filter;fast Fourier transform;FFT algorithms;HMM","","3372","","33","","","","","IEEE","IEEE Journals"
"IEEE Recommended Practice for Protection and Coordination of Industrial and Commercial Power Systems (IEEE Buff Book)","","","IEEE Std 242-2001 (Revision of IEEE Std 242-1986) [IEEE Buff Book]","","2001","","","1","710","This IEEE Standards product is part of the Color Books family. System protection and coordination serve to minimize damage to a system and its components, thereby limiting the extent and duration of any service interruption occurring on any portion of the system. The IEEE Buff Book deals with the proper selection, application, and coordination of the components that constitute system protection for industrial plants and commercial buildings. The IEEE Buff Book presents complete information on protection and coordination principles designed to protect industrial and commercial power systems against any abnormalities that could reasonably be expected to occur during the course of system operation. The information is arranged in a convenient step-by-step format for easy comprehension. It is a valuable sourcebook for use at the system design stage, as well as in the modification of existing operations for better system protection. The IEEE Buff Book supports the goal of system protection by efficiently isolating and removing problems. In achieving this goal, certain design features must be utilized. One of the main design features involves the rapid isolation of the affected portion of the system, while maintaining normal operation elsewhere. Another design feature reduces the short-circuit current to minimize damage to the system, its components, and the utilization equipment it supplies. Yet another design feature provides alternate circuits, automatic throwovers, and automatic reclosing devices. These design features for system protection are the focus of the IEEE Buff Book. The errata sheet is available on-line: http://standards.ieee.org/reading/ieee/updates/errata/242-2001_errata.pdf","","978-0-7381-2845-0","10.1109/IEEESTD.2001.93369","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=974402","bus protection;cable protection;calibration;conductor protection;coordinating time intervals;current transformers;current-limiting fuses;fuse coordination;fuse selectivity;generator grounding;generator protection;high-voltage fuses","","","","","10","","394","","","","","IEEE","IEEE Standards"
"Particle swarm optimization: developments, applications and resources","Eberhart; Yuhui Shi","Purdue Sch. of Eng. & Technol., Indianapolis, IN, USA; NA","Proceedings of the 2001 Congress on Evolutionary Computation (IEEE Cat. No.01TH8546)","","2001","1","","81","86 vol. 1","This paper focuses on the engineering and computer science aspects of developments, applications, and resources related to particle swarm optimization. Developments in the particle swarm algorithm since its origin in 1995 are reviewed. Included are brief discussions of constriction factors, inertia weights, and tracking dynamic systems. Applications, both those already developed, and promising future application areas, are reviewed. Finally, resources related to particle swarm optimization are listed, including books, Web sites, and software. A particle swarm optimization bibliography is at the end of the paper.","","0-7803-6657-3","10.1109/CEC.2001.934374","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=934374","","Particle swarm optimization;Application software;Acceleration;Particle tracking;Computer science;Books;Bibliographies;Power system dynamics;Evolutionary computation;Writing","evolutionary computation","particle swarm optimization;constriction factors;inertia weights;tracking;dynamic systems;evolutionary computation","","1513","","37","","","","","IEEE","IEEE Conferences"
"Agile software development: the business of innovation","J. Highsmith; A. Cockburn","NA; NA","Computer","","2001","34","9","120","127","The rise and fall of the dotcom-driven Internet economy shouldn't distract us from seeing that the business environment continues to change at a dramatically increasing pace. To thrive in this turbulent environment, we must confront the business need for relentless innovation and forge the future workforce culture. Agile software development approaches, such as extreme programming, Crystal methods, lean development, Scrum, adaptive software development (ASD) and others, view change from a perspective that mirrors today's turbulent business and technology environment.","1558-0814","","10.1109/2.947100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=947100","","Programming;Technological innovation;Documentation;Collaborative work;Contracts;Software development management;Variable speed drives;Collaborative software;Adaptive systems;Humans","business data processing;software engineering;management of change","agile software development approaches;innovation;Internet economy;changing business environment;workforce culture;extreme programming;Crystal methods;lean development;Scrum;adaptive software development;technology environment;software management","","118","","","","","","","IEEE","IEEE Magazines"
"A solution to the simultaneous localization and map building (SLAM) problem","M. W. M. G. Dissanayake; P. Newman; S. Clark; H. F. Durrant-Whyte; M. Csorba","Mech. & Mechatronic Eng., Sydney Univ., NSW, Australia; NA; NA; NA; NA","IEEE Transactions on Robotics and Automation","","2001","17","3","229","241","The simultaneous localization and map building (SLAM) problem asks if it is possible for an autonomous vehicle to start in an unknown location in an unknown environment and then to incrementally build a map of this environment while simultaneously using this map to compute absolute vehicle location. Starting from estimation-theoretic foundations of this problem, the paper proves that a solution to the SLAM problem is indeed possible. The underlying structure of the SLAM problem is first elucidated. A proof that the estimated map converges monotonically to a relative map with zero uncertainty is then developed. It is then shown that the absolute accuracy of the map and the vehicle location reach a lower bound defined only by the initial vehicle uncertainty. Together, these results show that it is possible for an autonomous vehicle to start in an unknown location in an unknown environment and, using relative observations only, incrementally build a perfect map of the world and to compute simultaneously a bounded estimate of vehicle location. The paper also describes a substantial implementation of the SLAM algorithm on a vehicle operating in an outdoor environment using millimeter-wave radar to provide relative map observations. This implementation is used to demonstrate how some key issues such as map management and data association can be handled in a practical environment. The results obtained are cross-compared with absolute locations of the map landmarks obtained by surveying. In conclusion, the paper discusses a number of key issues raised by the solution to the SLAM problem including suboptimal map-building algorithms and map management.","2374-958X","","10.1109/70.938381","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=938381","","Simultaneous localization and mapping;Remotely operated vehicles;Mobile robots;Navigation;Uncertainty;Millimeter wave radar;Motion planning;Environmental management;Helium;Mechatronics","mobile robots;path planning;covariance matrices;filtering theory;state estimation;estimation theory","simultaneous localization and map building problem;SLAM problem;autonomous vehicle;unknown location;unknown environment;absolute vehicle location;estimation-theoretic foundations;relative map;absolute accuracy;perfect map;outdoor environment;millimeter-wave radar;suboptimal map-building algorithms;map management","","1529","","26","","","","","IEEE","IEEE Journals"
"Fast approximate energy minimization via graph cuts","Y. Boykov; O. Veksler; R. Zabih","Siemens Corp. Res., Princeton, NJ, USA; NA; NA","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2001","23","11","1222","1239","Many tasks in computer vision involve assigning a label (such as disparity) to every pixel. A common constraint is that the labels should vary smoothly almost everywhere while preserving sharp discontinuities that may exist, e.g., at object boundaries. These tasks are naturally stated in terms of energy minimization. The authors consider a wide class of energies with various smoothness constraints. Global minimization of these energy functions is NP-hard even in the simplest discontinuity-preserving case. Therefore, our focus is on efficient approximation algorithms. We present two algorithms based on graph cuts that efficiently find a local minimum with respect to two types of large moves, namely expansion moves and swap moves. These moves can simultaneously change the labels of arbitrarily large sets of pixels. In contrast, many standard algorithms (including simulated annealing) use small moves where only one pixel changes its label at a time. Our expansion algorithm finds a labeling within a known factor of the global minimum, while our swap algorithm handles more general energy functions. Both of these algorithms allow important cases of discontinuity preserving energies. We experimentally demonstrate the effectiveness of our approach for image restoration, stereo and motion. On real data with ground truth, we achieve 98 percent accuracy.","1939-3539","","10.1109/34.969114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=969114","","Labeling;Image restoration;Stereo vision;Minimization methods;Markov random fields;Energy measurement;Computer vision;Approximation algorithms;Simulated annealing;Motion estimation","computer vision;image restoration;minimisation;computational complexity;simulated annealing","fast approximate energy minimization;graph cuts;computer vision;common constraint;sharp discontinuities;object boundaries;energy minimization;smoothness constraints;global minimization;NP-hard;discontinuity-preserving case;approximation algorithms;local minimum;expansion moves;swap moves;arbitrarily large sets;standard algorithms;simulated annealing;expansion algorithm;global minimum;swap algorithm;general energy functions;discontinuity preserving energies;image restoration;ground truth;early vision;graph algorithms;minimum cut;maximum flow;Markov Random fields","","4433","","47","","","","","IEEE","IEEE Journals"
"IEEE Standard Verilog Hardware Description Language","","","IEEE Std 1364-2001","","2001","","","1","792","Supersedes 1364-1995. The Verilog(R) Hardware Description Language (HDL) is defined in this standard. Verilog HDL is a formal notation intended for use in all phases of the creation of electronic systems. Because it is both machine readable and human readable,it supports the development,verification, synthesis,and testing of hardware designs; the communication of hardware design data; and the maintenance,modification,and procurement of hardware. The primary audiences for this standard are the implementors of tools supporting the language and advanced users of the language.","","978-0-7381-2827-6","10.1109/IEEESTD.2001.93352","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=954909","computer;computer languages;digital systems;electronic systems;hardware;hard-ware description languages;hardware design;HDL;PLI;programming language interface;VerilogHDL;Verilog PLI;Verilog ®","IEEE Standards;Hardware design languages;Hardware;Patents;Task analysis;Force","","","","5","","2","","","","","IEEE","IEEE Standards"
