"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Super-resolution image reconstruction: a technical overview","Sung Cheol Park; Min Kyu Park; Moon Gi Kang","NA; NA; NA","IEEE Signal Processing Magazine","","2003","20","3","21","36","A new approach toward increasing spatial resolution is required to overcome the limitations of the sensors and optics manufacturing technology. One promising approach is to use signal processing techniques to obtain an high-resolution (HR) image (or sequence) from observed multiple low-resolution (LR) images. Such a resolution enhancement approach has been one of the most active research areas, and it is called super resolution (SR) (or HR) image reconstruction or simply resolution enhancement. In this article, we use the term ""SR image reconstruction"" to refer to a signal processing approach toward resolution enhancement because the term ""super"" in ""super resolution"" represents very well the characteristics of the technique overcoming the inherent resolution limitation of LR imaging systems. The major advantage of the signal processing approach is that it may cost less and the existing LR imaging systems can be still utilized. The SR image reconstruction is proved to be useful in many practical cases where multiple frames of the same scene can be obtained, including medical imaging, satellite imaging, and video applications. The goal of this article is to introduce the concept of SR algorithms to readers who are unfamiliar with this area and to provide a review for experts. To this purpose, we present the technical review of various existing SR methodologies which are often employed. Before presenting the review of existing SR algorithms, we first model the LR image acquisition process.","1558-0792","","10.1109/MSP.2003.1203207","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1203207","","Image resolution;Image reconstruction;Signal resolution;Strontium;Spatial resolution;Optical imaging;Optical sensors;Optical signal processing;Signal processing algorithms;Biomedical optical imaging","image reconstruction;image resolution;image enhancement;reviews","super-resolution image reconstruction;spatial resolution;sensors;optics;manufacturing technology;signal processing;low-resolution images;resolution enhancement;SR image reconstruction;LR imaging systems;medical imaging;satellite imaging;video applications;SR algorithms;LR image acquisition;high-resolution image","","1923","","79","","","","","IEEE","IEEE Magazines"
"Leakage current mechanisms and leakage reduction techniques in deep-submicrometer CMOS circuits","K. Roy; S. Mukhopadhyay; H. Mahmoodi-Meimand","Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA; Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA; Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA","Proceedings of the IEEE","","2003","91","2","305","327","High leakage current in deep-submicrometer regimes is becoming a significant contributor to power dissipation of CMOS circuits as threshold voltage, channel length, and gate oxide thickness are reduced. Consequently, the identification and modeling of different leakage components is very important for estimation and reduction of leakage power, especially for low-power applications. This paper reviews various transistor intrinsic leakage mechanisms, including weak inversion, drain-induced barrier lowering, gate-induced drain leakage, and gate oxide tunneling. Channel engineering techniques including retrograde well and halo doping are explained as means to manage short-channel effects for continuous scaling of CMOS devices. Finally, the paper explores different circuit techniques to reduce the leakage power consumption.","1558-2256","","10.1109/JPROC.2002.808156","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1182065","","Leakage current;CMOS technology;Circuits;Power dissipation;Threshold voltage;Semiconductor device modeling;Semiconductor process modeling;Tunneling;Power engineering and energy;Doping","CMOS integrated circuits;leakage currents","leakage current;deep-submicron CMOS circuit;power dissipation;weak inversion;drain-induced barrier lowering;gate-induced drain leakage;gate oxide tunneling;channel engineering;threshold voltage;retrograde well;leakage power consumption;halo doping;short channel effect","","1316","","82","","","","","IEEE","IEEE Journals"
"Etch rates for micromachining processing-Part II","K. R. Williams; K. Gupta; M. Wasilik","Agilent Labs., Portola Valley, CA, USA; NA; NA","Journal of Microelectromechanical Systems","","2003","12","6","761","778","Samples of 53 materials that are used or potentially can be used or in the fabrication of microelectromechanical systems and integrated circuits were prepared: single-crystal silicon with two doping levels, polycrystalline silicon with two doping levels, polycrystalline germanium, polycrystalline SiGe, graphite, fused quartz, Pyrex 7740, nine other preparations of silicon dioxide, four preparations of silicon nitride, sapphire, two preparations of aluminum oxide, aluminum, Al/2%Si, titanium, vanadium, niobium, two preparations of tantalum, two preparations of chromium, Cr on Au, molybdenum, tungsten, nickel, palladium, platinum, copper, silver, gold, 10 Ti/90 W, 80 Ni/20 Cr, TiN, four types of photoresist, resist pen, Parylene-C, and spin-on polyimide. Selected samples were etched in 35 different etches: isotropic silicon etchant, potassium hydroxide, 10:1 HF, 5:1 BHF, Pad Etch 4, hot phosphoric acid, Aluminum Etchant Type A, titanium wet etchant, CR-7 chromium etchant, CR-14 chromium etchant, molybdenum etchant, warm hydrogen peroxide, Copper Etchant Type CE-200, Copper Etchant APS 100, dilute aqua regia, AU-5 gold etchant, Nichrome Etchant TFN, hot sulfuric+phosphoric acids, Piranha, Microstrip 2001, acetone, methanol, isopropanol, xenon difluoride, HF+H2O vapor, oxygen plasma, two deep reactive ion etch recipes with two different types of wafer clamping, SF6 plasma, SF6+O2 plasma, CF4 plasma, CF4+O2 plasma, and argon ion milling. The etch rates of 620 combinations of these were measured. The etch rates of thermal oxide in different dilutions of HF and BHF are also reported. Sample preparation and information about the etches is given.","1941-0158","","10.1109/JMEMS.2003.820936","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1257354","","Micromachining;Wet etching;Chromium;Plasma applications;Plasma measurements;Silicon;Gold;Copper;Doping;Aluminum","micromachining;sputter etching;collections of physical data;silicon;germanium;Ge-Si alloys;graphite;quartz;silicon compounds;sapphire;aluminium;aluminium alloys;chromium;molybdenum;tungsten;nickel;palladium;copper;silver;gold;titanium compounds;photoresists","micromachining processing;etch rates;microelectromechanical systems;single-crystal silicon;polycrystalline silicon;polycrystalline germanium;polycrystalline SiGe;graphite;fused quartz;Pyrex 7740;sapphire;photoresist;resist pen;Parylene-C;spin-on polyimide;deep reactive ion etch;ion milling;plasma etch;data tables;Si;Ge;SiGe;C;SiO/sub 2/;Si/sub 3/N/sub 4/;Al/sub 2/O/sub 3/;Al;Al-Si;Ti;V;Nb;Ta;Cr;Mo;W;Ni;TiN;Pd;Pt;Cu;Ag;Au","","580","","36","","","","","IEEE","IEEE Journals"
"IEEE Standard for Interconnecting Distributed Resources with Electric Power Systems","","","IEEE Std 1547-2003","","2003","","","1","28","This standard is the first in the 1547 series of interconnection standards and is a benchmark milestone demonstrating the open consensus process for standards development. Traditionally, utility electric power systems (EPS--grid or utility grid) were not designed to accommodate active generation and storage at the distribution level. As a result, there are major issues and obstacles to an orderly transition to using and integrating distributed power resources with the grid. The lack of uniform national interconnection standards and tests for interconnection operation and certification, as well as the lack of uniform national building, electrical, and safety codes, are understood. IEEE Std 1547 and its development demonstrate a model for ongoing success in establishing additional interconnection agreements, rules, and standards, on a national, regional, and state level. IEEE Std 1547 has the potential to be used in federal legislation and rule making and state public utilities commission (PUC) deliberations, and by over 3000 utilities in formulating technical requirements for interconnection agreements for distributed generators powering the electric grid. This standard focuses on the technical specifications for, and testing of, the interconnection itself. It provides requirements relevant to the performance, operation, testing, safety considerations, and maintenance of the interconnection. It includes general requirements, response to abnormal conditions, power quality, islanding, and test specifications and requirements for design, production, installation evaluation, commissioning, and periodic tests. The stated requirements are universally needed for interconnection of distributed resources (DR), including synchronous machines, induction machines, or power inverters/converters and will be sufficient for most installations.","","978-0-7381-3721-6","10.1109/IEEESTD.2003.94285","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1225051","certification codes commissioning;dc injection design;field;installation;production tests communications diesel generators distributed generation;power resources electric distribution systems dispersed generation;storage energy storage faults flicker fuel cells generators grid harmonics IEEE induction machines inverters interconnection requirements and specifications islanding microturbines monitoring and control paralleling power converters;networks;quality photovoltaic power systems point of common coupling public utility commissions reclosing coordination regulations rule making;federal;national;regional;state standards synchronous machines testing utilities wind energy systems","IEEE Standards;Power systems;Patents;Photovoltaic systems;Energy storage;Technical requirements","","","","80","","20","","","","","IEEE","IEEE Standards"
"A low-power low-noise CMOS amplifier for neural recording applications","R. R. Harrison; C. Charles","Dept. of Electr. & Comput. Eng., Univ. of Utah, Salt Lake City, UT, USA; Dept. of Electr. & Comput. Eng., Univ. of Utah, Salt Lake City, UT, USA","IEEE Journal of Solid-State Circuits","","2003","38","6","958","965","There is a need among scientists and clinicians for low-noise low-power biosignal amplifiers capable of amplifying signals in the millihertz-to-kilohertz range while rejecting large dc offsets generated at the electrode-tissue interface. The advent of fully implantable multielectrode arrays has created the need for fully integrated micropower amplifiers. We designed and tested a novel bioamplifier that uses a MOS-bipolar pseudoresistor element to amplify low-frequency signals down to the millihertz range while rejecting large dc offsets. We derive the theoretical noise-power tradeoff limit - the noise efficiency factor - for this amplifier and demonstrate that our VLSI implementation approaches this limit by selectively operating MOS transistors in either weak or strong inversion. The resulting amplifier, built in a standard 1.5-μm CMOS process, passes signals from 0.025Hz to 7.2 kHz with an input-referred noise of 2.2 μVrms and a power dissipation of 80 μW while consuming 0.16 mm2 of chip area. Our design technique was also used to develop an electroencephalogram amplifier having a bandwidth of 30 Hz and a power dissipation of 0.9 μW while maintaining a similar noise-power tradeoff.","1558-173X","","10.1109/JSSC.2003.811979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1201998","","Low-noise amplifiers;Low-frequency noise;Power amplifiers;Power dissipation;DC generators;Signal generators;Signal design;Testing;Very large scale integration;MOSFETs","biomedical electronics;prosthetics;CMOS analogue integrated circuits;low-power electronics;integrated circuit noise;integrated circuit design;preamplifiers;electroencephalography;operational amplifiers;neurophysiology","low-power low-noise CMOS amplifier;neural recording applications;low-noise low-power biosignal amplifiers;millihertz-to-kilohertz range;dc offset rejection;electrode-tissue interface;fully implantable multielectrode arrays;fully integrated micropower amplifiers;bioamplifier;MOS-bipolar pseudoresistor element;low-frequency signal amplification;noise-power tradeoff limit;noise efficiency factor;VLSI implementation;MOS transistor selective operation;weak inversion;strong inversion;CMOS process;input-referred noise;power dissipation;electroencephalogram amplifier;subthreshold circuit design;1.5 micron;0.025 Hz to 7.2 kHz;80 muW;30 Hz;0.9 muW","","1007","","29","","","","","IEEE","IEEE Journals"
"Kernel-based object tracking","D. Comaniciu; V. Ramesh; P. Meer","Real-Time Vision & Modeling Dept., Siemens Corporate Res., Princeton, NJ, USA; NA; NA","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2003","25","5","564","577","A new approach toward target representation and localization, the central component in visual tracking of nonrigid objects, is proposed. The feature histogram-based target representations are regularized by spatial masking with an isotropic kernel. The masking induces spatially-smooth similarity functions suitable for gradient-based optimization, hence, the target localization problem can be formulated using the basin of attraction of the local maxima. We employ a metric derived from the Bhattacharyya coefficient as similarity measure, and use the mean shift procedure to perform the optimization. In the presented tracking examples, the new method successfully coped with camera motion, partial occlusions, clutter, and target scale variations. Integration with motion filters and data association techniques is also discussed. We describe only a few of the potential applications: exploitation of background information, Kalman tracking using motion models, and face tracking.","1939-3539","","10.1109/TPAMI.2003.1195991","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1195991","","Target tracking;Cameras;Filters;Face detection;Filtering;Layout;State-space methods;Nonlinear equations;Kernel;Performance evaluation","computer vision;tracking;image motion analysis;image representation;object recognition;optimisation","kernel-based object tracking;target localization;spatial masking;isotropic kernel;spatially-smooth similarity functions;gradient-based optimization;basin of attraction;local maxima;Bhattacharyya coefficient;mean shift procedure;camera motion;partial occlusion;clutter;data association techniques;background information;Kalman tracking;face tracking;visual tracking;feature histogram-based target representation","","3232","","79","","","","","IEEE","IEEE Journals"
"Capacity limits of MIMO channels","A. Goldsmith; S. A. Jafar; N. Jindal; S. Vishwanath","Dept. of Electr. Eng., Stanford Univ., CA, USA; Dept. of Electr. Eng., Stanford Univ., CA, USA; Dept. of Electr. Eng., Stanford Univ., CA, USA; Dept. of Electr. Eng., Stanford Univ., CA, USA","IEEE Journal on Selected Areas in Communications","","2003","21","5","684","702","We provide an overview of the extensive results on the Shannon capacity of single-user and multiuser multiple-input multiple-output (MIMO) channels. Although enormous capacity gains have been predicted for such channels, these predictions are based on somewhat unrealistic assumptions about the underlying time-varying channel model and how well it can be tracked at the receiver, as well as at the transmitter. More realistic assumptions can dramatically impact the potential capacity gains of MIMO techniques. For time-varying MIMO channels there are multiple Shannon theoretic capacity definitions and, for each definition, different correlation models and channel information assumptions that we consider. We first provide a comprehensive summary of ergodic and capacity versus outage results for single-user MIMO channels. These results indicate that the capacity gain obtained from multiple antennas heavily depends on the available channel information at either the receiver or transmitter, the channel signal-to-noise ratio, and the correlation between the channel gains on each antenna element. We then focus attention on the capacity region of the multiple-access channels (MACs) and the largest known achievable rate region for the broadcast channel. In contrast to single-user MIMO channels, capacity results for these multiuser MIMO channels are quite difficult to obtain, even for constant channels. We summarize results for the MIMO broadcast and MAC for channels that are either constant or fading with perfect instantaneous knowledge of the antenna gains at both transmitter(s) and receiver(s). We show that the capacity region of the MIMO multiple access and the largest known achievable rate region (called the dirty-paper region) for the MIMO broadcast channel are intimately related via a duality transformation. This transformation facilitates finding the transmission strategies that achieve a point on the boundary of the MIMO MAC capacity region in terms of the transmission strategies of the MIMO broadcast dirty-paper region and vice-versa. Finally, we discuss capacity results for multicell MIMO channels with base station cooperation. The base stations then act as a spatially diverse antenna array and transmission strategies that exploit this structure exhibit significant capacity gains. This section also provides a brief discussion of system level issues associated with MIMO cellular. Open problems in this field abound and are discussed throughout the paper.","1558-0008","","10.1109/JSAC.2003.810294","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1203154","","MIMO;Transmitting antennas;Broadcasting;Receiving antennas;Channel capacity;Transmitters;Base stations;Time-varying channels;Predictive models;Signal to noise ratio","channel capacity;fading channels;time-varying channels;broadcast channels;MIMO systems;antenna arrays;receiving antennas;transmitting antennas;multiuser channels;multi-access systems;noise;cellular radio","capacity limits;multiuser MIMO channels;multiple-input multiple-output channels;Shannon capacity;single-user MIMO channels;capacity gain;time-varying channel model;receiver;transmitter;correlation models;channel information;multiple antennas;channel signal-to-noise ratio;capacity region;multiple-access channels;achievable rate region;broadcast channel;dirty-paper region;duality transformation;multicell MIMO channels;base station cooperation;antenna array;MIMO cellular;open problems;SNR;fading","","1437","","89","","","","","IEEE","IEEE Journals"
"Z-source inverter","Fang Zheng Peng","Dept. of Electr. & Comput. Eng., Michigan State Univ., East Lansing, MI, USA","IEEE Transactions on Industry Applications","","2003","39","2","504","510","This paper presents an impedance-source (or impedance-fed) power converter (abbreviated as Z-source converter) and its control method for implementing DC-to-AC, AC-to-DC, AC-to-AC, and DC-to-DC power conversion. The Z-source converter employs a unique impedance network (or circuit) to couple the converter main circuit to the power source, thus providing unique features that cannot be obtained in the traditional voltage-source (or voltage-fed) and current-source (or current-fed) converters where a capacitor and inductor are used, respectively. The Z-source converter overcomes the conceptual and theoretical barriers and limitations of the traditional voltage-source converter (abbreviated as V-source converter) and current-source converter (abbreviated as I-source converter) and provides a novel power conversion concept. The Z-source concept can be applied to all DC-to-AC, AC-to-DC, AC-to-AC, and DC-to-DC power conversion. To describe the operating principle and control, this paper focuses on an example: a Z-source inverter for DC-AC power conversion needed in fuel cell applications. Simulation and experimental results are presented to demonstrate the new features.","1939-9367","","10.1109/TIA.2003.808920","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189228","","Inverters;Voltage;Power conversion;Electromagnetic interference;Thyristors;Impedance;Rectifiers;Switching circuits;DC-DC power converters;Capacitors","invertors;electric impedance","Z-source inverter;impedance-source power converter;impedance-fed converter;Z-source converter;DC-to-AC converter;AC-to-DC converter;AC-to-AC converter;DC-to-DC converter;impedance network;converter main circuit;power source;operating principle;fuel cell applications","","1783","","9","","","","","IEEE","IEEE Journals"
"Amazon.com recommendations: item-to-item collaborative filtering","G. Linden; B. Smith; J. York","NA; NA; NA","IEEE Internet Computing","","2003","7","1","76","80","Recommendation algorithms are best known for their use on e-commerce Web sites, where they use input about a customer's interests to generate a list of recommended items. Many applications use only the items that customers purchase and explicitly rate to represent their interests, but they can also use other attributes, including items viewed, demographic data, subject interests, and favorite artists. At Amazon.com, we use recommendation algorithms to personalize the online store for each customer. The store radically changes based on customer interests, showing programming titles to a software engineer and baby toys to a new mother. There are three common approaches to solving the recommendation problem: traditional collaborative filtering, cluster models, and search-based methods. Here, we compare these methods with our algorithm, which we call item-to-item collaborative filtering. Unlike traditional collaborative filtering, our algorithm's online computation scales independently of the number of customers and number of items in the product catalog. Our algorithm produces recommendations in real-time, scales to massive data sets, and generates high quality recommendations.","1941-0131","","10.1109/MIC.2003.1167344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167344","","Collaboration;Clustering algorithms;Filtering algorithms;Aggregates;Information filtering;Information filters;Demography;Pediatrics;Electronic mail;Advertising","information filters;Web sites;electronic commerce;retail data processing;information retrieval;real-time systems","Amazon.com recommendations;item-to-item collaborative filtering;e-commerce;Web sites;demographic data;recommendation algorithms;online store;customer interests;cluster models;search-based methods;product catalog;real-time;massive data sets","","1475","","10","","","","","IEEE","IEEE Magazines"
"Overview of the H.264/AVC video coding standard","T. Wiegand; G. J. Sullivan; G. Bjontegaard; A. Luthra","Fraunhofer-Inst. for Telecommun., Heinrich-Hertz-Inst., Berlin, Germany; NA; NA; NA","IEEE Transactions on Circuits and Systems for Video Technology","","2003","13","7","560","576","H.264/AVC is newest video coding standard of the ITU-T Video Coding Experts Group and the ISO/IEC Moving Picture Experts Group. The main goals of the H.264/AVC standardization effort have been enhanced compression performance and provision of a ""network-friendly"" video representation addressing ""conversational"" (video telephony) and ""nonconversational"" (storage, broadcast, or streaming) applications. H.264/AVC has achieved a significant improvement in rate-distortion efficiency relative to existing standards. This article provides an overview of the technical features of H.264/AVC, describes profiles and applications for the standard, and outlines the history of the standardization process.","1558-2205","","10.1109/TCSVT.2003.815165","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1218189","","Automatic voltage control;Video coding;IEC standards;ISO standards;Standardization;Video compression;MPEG standards;Telephony;Multimedia communication;Broadcasting","code standards;IEC standards;ISO standards;telecommunication standards;data compression;video coding;rate distortion theory;standardisation","H.264/AVC video coding standard;ITU-T Video Coding Experts Group;ISO/IEC Moving Picture Experts Group;H.264/AVC standardization;compression performance;video representation;video telephony;video storage;video broadcast;video streaming;rate-distortion efficiency;standardization history","","4746","","19","","","","","IEEE","IEEE Journals"
