"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A fast and elitist multiobjective genetic algorithm: NSGA-II","K. Deb; A. Pratap; S. Agarwal; T. Meyarivan","Kanpur Genetic Algorithms Lab., Indian Inst. of Technol., Kanpur, India; NA; NA; NA","IEEE Transactions on Evolutionary Computation","","2002","6","2","182","197","Multi-objective evolutionary algorithms (MOEAs) that use non-dominated sorting and sharing have been criticized mainly for: (1) their O(MN/sup 3/) computational complexity (where M is the number of objectives and N is the population size); (2) their non-elitism approach; and (3) the need to specify a sharing parameter. In this paper, we suggest a non-dominated sorting-based MOEA, called NSGA-II (Non-dominated Sorting Genetic Algorithm II), which alleviates all of the above three difficulties. Specifically, a fast non-dominated sorting approach with O(MN/sup 2/) computational complexity is presented. Also, a selection operator is presented that creates a mating pool by combining the parent and offspring populations and selecting the best N solutions (with respect to fitness and spread). Simulation results on difficult test problems show that NSGA-II is able, for most problems, to find a much better spread of solutions and better convergence near the true Pareto-optimal front compared to the Pareto-archived evolution strategy and the strength-Pareto evolutionary algorithm - two other elitist MOEAs that pay special attention to creating a diverse Pareto-optimal front. Moreover, we modify the definition of dominance in order to solve constrained multi-objective problems efficiently. Simulation results of the constrained NSGA-II on a number of test problems, including a five-objective, seven-constraint nonlinear problem, are compared with another constrained multi-objective optimizer, and the much better performance of NSGA-II is observed.","1941-0026","","10.1109/4235.996017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=996017","","Genetic algorithms;Sorting;Computational complexity;Evolutionary computation;Computational modeling;Testing;Decision making;Associate members;Diversity reception;Constraint optimization","genetic algorithms;operations research;computational complexity;Pareto distribution;simulation;convergence;constraint theory;sorting","fast elitist multi-objective genetic algorithm;NSGA-II;Nondominated Sorting Genetic Algorithm II;multi-objective evolutionary algorithm;nondominated sharing;computational complexity;objectives;population size;selection operator;mating pool;parent/offspring population combination;solution fitness;solution spread;simulation;convergence;Pareto-optimal front;Pareto-archived evolution strategy;strength-Pareto evolutionary algorithm;dominance definition;constrained multi-objective problems;nonlinear problem;multi-objective optimization;algorithm performance;constraint handling;multi-criterion decision making","","17996","","26","","","","","IEEE","IEEE Journals"
"A tutorial on particle filters for online nonlinear/non-Gaussian Bayesian tracking","M. S. Arulampalam; S. Maskell; N. Gordon; T. Clapp","Defence Sci. & Technol. Organ., Adelaide, SA, Australia; NA; NA; NA","IEEE Transactions on Signal Processing","","2002","50","2","174","188","Increasingly, for many application areas, it is becoming important to include elements of nonlinearity and non-Gaussianity in order to model accurately the underlying dynamics of a physical system. Moreover, it is typically crucial to process data on-line as it arrives, both from the point of view of storage costs as well as for rapid adaptation to changing signal characteristics. In this paper, we review both optimal and suboptimal Bayesian algorithms for nonlinear/non-Gaussian tracking problems, with a focus on particle filters. Particle filters are sequential Monte Carlo methods based on point mass (or ""particle"") representations of probability densities, which can be applied to any state-space model and which generalize the traditional Kalman filtering methods. Several variants of the particle filter such as SIR, ASIR, and RPF are introduced within a generic framework of the sequential importance sampling (SIS) algorithm. These are discussed and compared with the standard EKF through an illustrative example.","1941-0476","","10.1109/78.978374","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=978374","","Tutorial;Particle filters;Nonlinear dynamical systems;Costs;Signal processing;Bayesian methods;Particle tracking;Kalman filters;Filtering;Monte Carlo methods","filtering theory;tracking filters;Kalman filters;Monte Carlo methods;state-space methods;state estimation;Bayes methods;importance sampling","particle filters;suboptimal Bayesian algorithms;optimal Bayesian algorithms;nonlinear tracking problems;nonGaussian tracking problems;sequential Monte Carlo methods;point mass representations;probability densities;state-space model;Kalman filtering;sequential importance sampling;tutorial","","6598","","43","","","","","IEEE","IEEE Journals"
"Multilevel inverters: a survey of topologies, controls, and applications","J. Rodriguez; Jih-Sheng Lai; Fang Zheng Peng","Departamento de Electronica, Univ. Tecnica Federico Santa Maria, Valparaiso, Chile; NA; NA","IEEE Transactions on Industrial Electronics","","2002","49","4","724","738","Multilevel inverter technology has emerged recently as a very important alternative in the area of high-power medium-voltage energy control. This paper presents the most important topologies like diode-clamped inverter (neutral-point clamped), capacitor-clamped (flying capacitor), and cascaded multicell with separate DC sources. Emerging topologies like asymmetric hybrid cells and soft-switched multilevel inverters are also discussed. This paper also presents the most relevant control and modulation methods developed for this family of converters: multilevel sinusoidal pulsewidth modulation, multilevel selective harmonic elimination, and space-vector modulation. Special attention is dedicated to the latest and more relevant applications of these converters such as laminators, conveyor belts, and unified power-flow controllers. The need of an active front end at the input side for those inverters supplying regenerative loads is also discussed, and the circuit topology options are also presented. Finally, the peripherally developing areas such as high-voltage high-power devices and optical sensors and other opportunities for future development are addressed.","1557-9948","","10.1109/TIE.2002.801052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1021296","","Topology;Pulse width modulation inverters;Capacitors;Space vector pulse width modulation;Pulse modulation;Medium voltage;Semiconductor diodes;Pulse width modulation converters;Power semiconductor switches;Leg","PWM invertors;DC-AC power convertors;network topology;switching circuits;power control;power conversion harmonics;harmonic distortion","multilevel inverters;topologies;controls;applications;high-power medium-voltage energy control;diode-clamped inverter;capacitor-clamped multicell;cascaded multicell;asymmetric hybrid cells;soft-switched multilevel inverters;modulation methods;multilevel sinusoidal pulsewidth modulation;multilevel selective harmonic elimination;space-vector modulation;unified power-flow controllers;regenerative loads","","3717","","78","","","","","IEEE","IEEE Journals"
"A survey on sensor networks","I. F. Akyildiz; Weilian Su; Y. Sankarasubramaniam; E. Cayirci","Georgia Inst. of Technol., Atlanta, GA, USA; Georgia Inst. of Technol., Atlanta, GA, USA; Georgia Inst. of Technol., Atlanta, GA, USA; Georgia Inst. of Technol., Atlanta, GA, USA","IEEE Communications Magazine","","2002","40","8","102","114","The advancement in wireless communications and electronics has enabled the development of low-cost sensor networks. The sensor networks can be used for various application areas (e.g., health, military, home). For different application areas, there are different technical issues that researchers are currently resolving. The current state of the art of sensor networks is captured in this article, where solutions are discussed under their related protocol stack layer sections. This article also points out the open research issues and intends to spark new interests and developments in this field.","1558-1896","","10.1109/MCOM.2002.1024422","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1024422","","Sensor phenomena and characterization;Capacitive sensors;Wireless sensor networks;Military computing;Intelligent sensors;Protocols;Patient monitoring;Ad hoc networks;Wireless communication;Military communication","radio networks;sensors;protocols","sensor networks;wireless communications;wireless electronics;low-cost sensor networks;health;military applications;home applications;protocol stack layer;research;multifunctional sensor nodes;data processing;carrier sense multiple access;CSMA;hybrid TDMA/FDMA-Based","","8240","","20","","","","","IEEE","IEEE Magazines"
"Mean shift: a robust approach toward feature space analysis","D. Comaniciu; P. Meer","Imaging & Visualization Dept., Siemens Corp. Res. Inc., Princeton, NJ, USA; Imaging & Visualization Dept., Siemens Corp. Res. Inc., Princeton, NJ, USA","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2002","24","5","603","619","A general non-parametric technique is proposed for the analysis of a complex multimodal feature space and to delineate arbitrarily shaped clusters in it. The basic computational module of the technique is an old pattern recognition procedure: the mean shift. For discrete data, we prove the convergence of a recursive mean shift procedure to the nearest stationary point of the underlying density function and, thus, its utility in detecting the modes of the density. The relation of the mean shift procedure to the Nadaraya-Watson estimator from kernel regression and the robust M-estimators; of location is also established. Algorithms for two low-level vision tasks discontinuity-preserving smoothing and image segmentation - are described as applications. In these algorithms, the only user-set parameter is the resolution of the analysis, and either gray-level or color images are accepted as input. Extensive experimental results illustrate their excellent performance.","1939-3539","","10.1109/34.1000236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1000236","","Robustness;Pattern recognition;Convergence;Density functional theory;Kernel;Smoothing methods;Image segmentation;Image resolution;Image analysis;Image color analysis","computer vision;pattern clustering;smoothing methods;image segmentation;estimation theory;nonparametric statistics","mean shift;robust feature space analysis;nonparametric technique;complex multimodal feature space;arbitrarily shaped cluster delineation;computational module;pattern recognition procedure;discrete data;convergence;recursive mean shift procedure;nearest stationary point;density function;density modes detection;Nadaraya-Watson estimator;kernel regression;robust M-estimators;location estimation;low-level vision algorithms;discontinuity-preserving image smoothing;image segmentation;user-set parameter;analysis resolution;gray-level images;color images;algorithm performance","","6483","","67","","","","","IEEE","IEEE Journals"
"Multiresolution gray-scale and rotation invariant texture classification with local binary patterns","T. Ojala; M. Pietikainen; T. Maenpaa","Machine Vision & Media Process. Unit, Oulu Univ., Finland; Machine Vision & Media Process. Unit, Oulu Univ., Finland; Machine Vision & Media Process. Unit, Oulu Univ., Finland","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2002","24","7","971","987","Presents a theoretically very simple, yet efficient, multiresolution approach to gray-scale and rotation invariant texture classification based on local binary patterns and nonparametric discrimination of sample and prototype distributions. The method is based on recognizing that certain local binary patterns, termed ""uniform,"" are fundamental properties of local image texture and their occurrence histogram is proven to be a very powerful texture feature. We derive a generalized gray-scale and rotation invariant operator presentation that allows for detecting the ""uniform"" patterns for any quantization of the angular space and for any spatial resolution and presents a method for combining multiple operators for multiresolution analysis. The proposed approach is very robust in terms of gray-scale variations since the operator is, by definition, invariant against any monotonic transformation of the gray scale. Another advantage is computational simplicity as the operator can be realized with a few operations in a small neighborhood and a lookup table. Experimental results demonstrate that good discrimination can be achieved with the occurrence statistics of simple rotation invariant local binary patterns.","1939-3539","","10.1109/TPAMI.2002.1017623","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1017623","","Gray-scale;Spatial resolution;Prototypes;Pattern recognition;Image recognition;Image texture;Histograms;Quantization;Multiresolution analysis;Robustness","image texture;image classification;invariance;nonparametric statistics","multiresolution gray-scale texture classification;rotation invariant texture classification;local binary patterns;nonparametric discrimination;sample distributions;prototype distributions;local image texture;occurrence histogram;uniform patterns;angular space;spatial resolution;multiresolution analysis;gray-scale variations;computational simplicity","","8223","","39","","","","","IEEE","IEEE Journals"
"The particle swarm - explosion, stability, and convergence in a multidimensional complex space","M. Clerc; J. Kennedy","France Telecom, Annecy-le-Vieux, France; NA","IEEE Transactions on Evolutionary Computation","","2002","6","1","58","73","The particle swarm is an algorithm for finding optimal regions of complex search spaces through the interaction of individuals in a population of particles. This paper analyzes a particle's trajectory as it moves in discrete time (the algebraic view), then progresses to the view of it in continuous time (the analytical view). A five-dimensional depiction is developed, which describes the system completely. These analyses lead to a generalized model of the algorithm, containing a set of coefficients to control the system's convergence tendencies. Some results of the particle swarm optimizer, implementing modifications derived from the analysis, suggest methods for altering the original algorithm in ways that eliminate problems and increase the ability of the particle swarm to find optima of some well-studied test functions.","1941-0026","","10.1109/4235.985692","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=985692","","Stability;Convergence;Multidimensional systems;Particle swarm optimization;Algorithm design and analysis;Testing;Control system synthesis;Optimization methods;Evolutionary computation;Stochastic systems","genetic algorithms;convergence of numerical methods;numerical stability;search problems","convergence;particle swarm;multidimensional complex space;search spaces;evolutionary computation;optimization;stability;particle trajectory","","5054","","11","","","","","IEEE","IEEE Journals"
"An efficient k-means clustering algorithm: analysis and implementation","T. Kanungo; D. M. Mount; N. S. Netanyahu; C. D. Piatko; R. Silverman; A. Y. Wu","Almaden Res. Center, San Jose, CA, USA; NA; NA; NA; NA; NA","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2002","24","7","881","892","In k-means clustering, we are given a set of n data points in d-dimensional space R/sup d/ and an integer k and the problem is to determine a set of k points in Rd, called centers, so as to minimize the mean squared distance from each data point to its nearest center. A popular heuristic for k-means clustering is Lloyd's (1982) algorithm. We present a simple and efficient implementation of Lloyd's k-means clustering algorithm, which we call the filtering algorithm. This algorithm is easy to implement, requiring a kd-tree as the only major data structure. We establish the practical efficiency of the filtering algorithm in two ways. First, we present a data-sensitive analysis of the algorithm's running time, which shows that the algorithm runs faster as the separation between clusters increases. Second, we present a number of empirical studies both on synthetically generated data and on real data sets from applications in color quantization, data compression, and image segmentation.","1939-3539","","10.1109/TPAMI.2002.1017616","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1017616","","Clustering algorithms;Algorithm design and analysis;Iterative algorithms;Filtering algorithms;Machine learning algorithms;Data compression;Pattern recognition;Data mining;Data structures;Data analysis","pattern clustering;filtering theory;covariance matrices","k-means clustering algorithm;mean squared distance;Lloyd algorithm;filtering algorithm;kd-tree;data structure;data-sensitive analysis;color quantization;data compression;image segmentation","","2465","","50","","","","","IEEE","IEEE Journals"
"An application-specific protocol architecture for wireless microsensor networks","W. B. Heinzelman; A. P. Chandrakasan; H. Balakrishnan","MIT, Cambridge, MA, USA; NA; NA","IEEE Transactions on Wireless Communications","","2002","1","4","660","670","Networking together hundreds or thousands of cheap microsensor nodes allows users to accurately monitor a remote environment by intelligently combining the data from the individual nodes. These networks require robust wireless communication protocols that are energy efficient and provide low latency. We develop and analyze low-energy adaptive clustering hierarchy (LEACH), a protocol architecture for microsensor networks that combines the ideas of energy-efficient cluster-based routing and media access together with application-specific data aggregation to achieve good performance in terms of system lifetime, latency, and application-perceived quality. LEACH includes a new, distributed cluster formation technique that enables self-organization of large numbers of nodes, algorithms for adapting clusters and rotating cluster head positions to evenly distribute the energy load among all the nodes, and techniques to enable distributed signal processing to save communication resources. Our results show that LEACH can improve system lifetime by an order of magnitude compared with general-purpose multihop approaches.","1558-2248","","10.1109/TWC.2002.804190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1045297","","Wireless application protocol;Microsensors;Energy efficiency;Delay;Signal processing algorithms;Remote monitoring;Intelligent networks;Robustness;Wireless communication;Access protocols","electric sensing devices;radio networks;adaptive systems;access protocols;distributed processing;telecommunication network routing","application-specific protocol architecture;wireless microsensor networks;microsensor nodes;remote environment monitoring;wireless communication protocols;low-energy adaptive clustering hierarchy;LEACH;protocol architecture;microsensor networks;energy-efficient cluster-based routing;energy-efficient media access;application-specific data aggregation;system lifetime;network performance;distributed cluster formation;latency;application-perceived quality;self-organization;cluster head positions rotation;distributed signal processing;general-purpose multihopping;media access control protocols;routing protocols;wireless channel","","5841","","26","","","","","IEEE","IEEE Journals"
"A universal image quality index","Zhou Wang; A. C. Bovik","Dept. of Electr. & Comput. Eng., Texas Univ., Austin, TX, USA; NA","IEEE Signal Processing Letters","","2002","9","3","81","84","We propose a new universal objective image quality index, which is easy to calculate and applicable to various image processing applications. Instead of using traditional error summation methods, the proposed index is designed by modeling any image distortion as a combination of three factors: loss of correlation, luminance distortion, and contrast distortion. Although the new index is mathematically defined and no human visual system model is explicitly employed, our experiments on various image distortion types indicate that it performs significantly better than the widely used distortion metric mean squared error. Demonstrative images and an efficient MATLAB implementation of the algorithm are available online at http://anchovy.ece.utexas.edu//spl sim/zwang/research/quality_index/demo.html.","1558-2361","","10.1109/97.995823","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=995823","","Image quality;Distortion measurement;PSNR;Image processing;Humans;Visual system;Testing;Mathematical model;Signal to noise ratio;Dynamic range","image processing","universal image quality index;image processing applications;image distortion;loss of correlation;luminance distortion;contrast distortion;MATLAB implementation","","2620","","5","","","","","IEEE","IEEE Journals"
