"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Image quality assessment: from error visibility to structural similarity","Zhou Wang; A. C. Bovik; H. R. Sheikh; E. P. Simoncelli","Center for Neural Sci., New York Univ., NY, USA; NA; NA; NA","IEEE Transactions on Image Processing","","2004","13","4","600","612","Objective methods for assessing perceptual image quality traditionally attempted to quantify the visibility of errors (differences) between a distorted image and a reference image using a variety of known properties of the human visual system. Under the assumption that human visual perception is highly adapted for extracting structural information from a scene, we introduce an alternative complementary framework for quality assessment based on the degradation of structural information. As a specific example of this concept, we develop a structural similarity index and demonstrate its promise through a set of intuitive examples, as well as comparison to both subjective ratings and state-of-the-art objective methods on a database of images compressed with JPEG and JPEG2000. A MATLAB implementation of the proposed algorithm is available online at http://www.cns.nyu.edu//spl sim/lcv/ssim/.","1941-0042","","10.1109/TIP.2003.819861","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1284395","","Image quality;Humans;Transform coding;Visual system;Visual perception;Data mining;Layout;Quality assessment;Degradation;Indexes","data compression;visual perception;image coding","perceptual image quality assessment;error visibility;structural similarity index;error sensitivity;distorted image;reference image;human visual system;human visual perception;structural information;image database;JPEG2000;JPEG;image compression","Algorithms;Data Interpretation, Statistical;Hypermedia;Image Enhancement;Image Enhancement;Image Interpretation, Computer-Assisted;Image Interpretation, Computer-Assisted;Information Storage and Retrieval;Information Storage and Retrieval;Models, Statistical;Pattern Recognition, Automated;Quality Control;Reproducibility of Results;Sensitivity and Specificity;Signal Processing, Computer-Assisted;Subtraction Technique","15252","","58","","","","","IEEE","IEEE Journals"
"Consensus problems in networks of agents with switching topology and time-delays","R. Olfati-Saber; R. M. Murray","Dept. of Control & Dynamical Syst., California Inst. of Technol., Pasadena, CA, USA; Dept. of Control & Dynamical Syst., California Inst. of Technol., Pasadena, CA, USA","IEEE Transactions on Automatic Control","","2004","49","9","1520","1533","In this paper, we discuss consensus problems for networks of dynamic agents with fixed and switching topologies. We analyze three cases: 1) directed networks with fixed topology; 2) directed networks with switching topology; and 3) undirected networks with communication time-delays and fixed topology. We introduce two consensus protocols for networks with and without time-delays and provide a convergence analysis in all three cases. We establish a direct connection between the algebraic connectivity (or Fiedler eigenvalue) of the network and the performance (or negotiation speed) of a linear consensus protocol. This required the generalization of the notion of algebraic connectivity of undirected graphs to digraphs. It turns out that balanced digraphs play a key role in addressing average-consensus problems. We introduce disagreement functions for convergence analysis of consensus protocols. A disagreement function is a Lyapunov function for the disagreement network dynamics. We proposed a simple disagreement function that is a common Lyapunov function for the disagreement dynamics of a directed network with switching topology. A distinctive feature of this work is to address consensus problems for networks with directed information flow. We provide analytical tools that rely on algebraic graph theory, matrix theory, and control theory. Simulations are provided that demonstrate the effectiveness of our theoretical results.","1558-2523","","10.1109/TAC.2004.834113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333204","","Intelligent networks;Network topology;Vehicle dynamics;Communication switching;Protocols;Control systems;Convergence;Laplace equations;Automatic control;Communication system control","delays;convergence;Lyapunov methods;graph theory;matrix algebra;control theory;time-varying systems","switching topology;time-delays;dynamic agent networks;convergence analysis;linear consensus protocols;Lyapunov functions;graph theory;matrix theory;control theory","","7182","","39","","","","","IEEE","IEEE Journals"
"Definition and classification of power system stability IEEE/CIGRE joint task force on stability terms and definitions","P. Kundur; J. Paserba; V. Ajjarapu; G. Andersson; A. Bose; C. Canizares; N. Hatziargyriou; D. Hill; A. Stankovic; C. Taylor; T. Van Cutsem; V. Vittal","NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA","IEEE Transactions on Power Systems","","2004","19","3","1387","1401","The problem of defining and classifying power system stability has been addressed by several previous CIGRE and IEEE Task Force reports. These earlier efforts, however, do not completely reflect current industry needs, experiences and understanding. In particular, the definitions are not precise and the classifications do not encompass all practical instability scenarios. This report developed by a Task Force, set up jointly by the CIGRE Study Committee 38 and the IEEE Power System Dynamic Performance Committee, addresses the issue of stability definition and classification in power systems from a fundamental viewpoint and closely examines the practical ramifications. The report aims to define power system stability more precisely, provide a systematic basis for its classification, and discuss linkages to related issues such as power system reliability and security.","1558-0679","","10.1109/TPWRS.2004.825981","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1318675","","Power system stability;Power system security;Power system reliability","power system stability;power system security;power system reliability","power system stability;power system classification;power system reliability;power system security;CIGRE;IEEE Task Force","","1295","","66","","","","","IEEE","IEEE Journals"
"Fundamental analysis for visible-light communication system using LED lights","T. Komine; M. Nakagawa","Dept. of Inf. & Comput. Sci., Keio Univ., Japan; Dept. of Inf. & Comput. Sci., Keio Univ., Japan","IEEE Transactions on Consumer Electronics","","2004","50","1","100","107","White LED offers advantageous properties such as high brightness, reliability, lower power consumption and long lifetime. White LEDs are expected to serve in the next generation of lamps. An indoor visible-light communication system utilizing white LED lights has been proposed from our laboratory. In the proposed system, these devices are used not only for illuminating rooms but also for an optical wireless communication system. Generally, plural lights are installed in our room. So, their optical path difference must be considered. In this paper, we discuss about the influence of interference and reflection. Based on numerical analyses, we show that the system is expected to be the indoor communication of the next generation.","1558-4127","","10.1109/TCE.2004.1277847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1277847","","Light emitting diodes;Brightness;Power system reliability;Energy consumption;Laboratories;Optical devices;Wireless communication;Interference;Optical reflection;Numerical analysis","optical communication;LED lamps;intersymbol interference;indoor radio;radiofrequency interference","visible-light communication system;white LED lights;light emitting diodes;optical wireless communication systems;intersymbol interference;reflection;indoor communication","","1724","","21","","","","","IEEE","IEEE Journals"
"Cooperative diversity in wireless networks: Efficient protocols and outage behavior","J. N. Laneman; D. N. C. Tse; G. W. Wornell","Dept. of Electr. Eng. & Comput. Sci., MIT, Cambridge, MA, USA; NA; NA","IEEE Transactions on Information Theory","","2004","50","12","3062","3080","We develop and analyze low-complexity cooperative diversity protocols that combat fading induced by multipath propagation in wireless networks. The underlying techniques exploit space diversity available through cooperating terminals' relaying signals for one another. We outline several strategies employed by the cooperating radios, including fixed relaying schemes such as amplify-and-forward and decode-and-forward, selection relaying schemes that adapt based upon channel measurements between the cooperating terminals, and incremental relaying schemes that adapt based upon limited feedback from the destination terminal. We develop performance characterizations in terms of outage events and associated outage probabilities, which measure robustness of the transmissions to fading, focusing on the high signal-to-noise ratio (SNR) regime. Except for fixed decode-and-forward, all of our cooperative diversity protocols are efficient in the sense that they achieve full diversity (i.e., second-order diversity in the case of two terminals), and, moreover, are close to optimum (within 1.5 dB) in certain regimes. Thus, using distributed antennas, we can provide the powerful benefits of space diversity without need for physical arrays, though at a loss of spectral efficiency due to half-duplex operation and possibly at the cost of additional receive hardware. Applicable to any wireless setting, including cellular or ad hoc networks-wherever space constraints preclude the use of physical arrays-the performance characterizations reveal that large power or energy savings result from the use of these protocols.","1557-9654","","10.1109/TIT.2004.838089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1362898","Diversity techniques;fading channels;outage probability;relay channel;user cooperation;wireless networks","Wireless networks;Wireless application protocol;Relays;Fading;Decoding;Feedback;Robustness;Signal to noise ratio;Receiving antennas;Antenna arrays","fading channels;multipath channels;cellular radio;ad hoc networks;diversity reception;antenna arrays;probability;protocols","wireless network;cooperative diversity protocol;fading channel;multipath propagation;cooperating terminal relaying signal;cooperating radio;channel measurement;outage probability;amplify-and-forward;decode-and-forward;selection relaying schemes;incremental relaying schemes;signal-to-noise ratio;SNR;distributed antenna;space diversity;spectral efficiency;half-duplex operation;ad hoc network;cellular networks;relay channel","","9337","","42","","","","","IEEE","IEEE Journals"
"Routing techniques in wireless sensor networks: a survey","J. N. Al-Karaki; A. E. Kamal","Dept. of Electr. & Comput. Eng., Hashemite Univ., Zarqa, Jordan; NA","IEEE Wireless Communications","","2004","11","6","6","28","Wireless sensor networks consist of small nodes with sensing, computation, and wireless communications capabilities. Many routing, power management, and data dissemination protocols have been specifically designed for WSNs where energy awareness is an essential design issue. Routing protocols in WSNs might differ depending on the application and network architecture. In this article we present a survey of state-of-the-art routing techniques in WSNs. We first outline the design challenges for routing protocols in WSNs followed by a comprehensive survey of routing techniques. Overall, the routing techniques are classified into three categories based on the underlying network structure: flit, hierarchical, and location-based routing. Furthermore, these protocols can be classified into multipath-based, query-based, negotiation-based, QoS-based, and coherent-based depending on the protocol operation. We study the design trade-offs between energy and communication overhead savings in every routing paradigm. We also highlight the advantages and performance issues of each routing technique. The article concludes with possible future research areas.","1558-0687","","10.1109/MWC.2004.1368893","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1368893","","Intelligent networks;Wireless sensor networks;Sensor phenomena and characterization;Acoustic sensors;Routing protocols;Area measurement;Intrusion detection;Acoustic scattering;Light scattering;Mobile communication","routing protocols;wireless sensor networks;quality of service","routing technique;wireless sensor network;routing protocol;network structure;flit routing;hierarchical routing;location-based routing;multipath-based protocol;query-based protocol;negotiation-based protocol;QoS-based protocol;quality of service;coherent-based protocol","","2319","","48","","","","","IEEE","IEEE Magazines"
"Zero-forcing methods for downlink spatial multiplexing in multiuser MIMO channels","Q. H. Spencer; A. L. Swindlehurst; M. Haardt","Dept. of Electr. & Comput. Eng., Brigham Young Univ., Provo, UT, USA; Dept. of Electr. & Comput. Eng., Brigham Young Univ., Provo, UT, USA; NA","IEEE Transactions on Signal Processing","","2004","52","2","461","471","The use of space-division multiple access (SDMA) in the downlink of a multiuser multiple-input, multiple-output (MIMO) wireless communications network can provide a substantial gain in system throughput. The challenge in such multiuser systems is designing transmit vectors while considering the co-channel interference of other users. Typical optimization problems of interest include the capacity problem - maximizing the sum information rate subject to a power constraint-or the power control problem-minimizing transmitted power such that a certain quality-of-service metric for each user is met. Neither of these problems possess closed-form solutions for the general multiuser MIMO channel, but the imposition of certain constraints can lead to closed-form solutions. This paper presents two such constrained solutions. The first, referred to as ""block-diagonalization,"" is a generalization of channel inversion when there are multiple antennas at each receiver. It is easily adapted to optimize for either maximum transmission rate or minimum power and approaches the optimal solution at high SNR. The second, known as ""successive optimization,"" is an alternative method for solving the power minimization problem one user at a time, and it yields superior results in some (e.g., low SNR) situations. Both of these algorithms are limited to cases where the transmitter has more antennas than all receive antennas combined. In order to accommodate more general scenarios, we also propose a framework for coordinated transmitter-receiver processing that generalizes the two algorithms to cases involving more receive than transmit antennas. While the proposed algorithms are suboptimal, they lead to simpler transmitter and receiver structures and allow for a reasonable tradeoff between performance and complexity.","1941-0476","","10.1109/TSP.2003.821107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1261332","","Downlink;MIMO;Receiving antennas;Closed-form solution;Transmitters;Transmitting antennas;Multiaccess communication;Wireless communication;Throughput;Interchannel interference","multiuser channels;MIMO systems;space division multiple access;radio networks;optimisation;cochannel interference;quality of service;antenna arrays;array signal processing;space division multiplexing;radio transmitters;radio receivers","zero-forcing methods;downlink spatial multiplexing;multiuser MIMO channels;space-division multiple access;multiple-input multiple-output wireless communication networks;transmit vectors designing;cochannel interference;optimization problems;power constraint;power control;quality-of-service;closed-form solutions;block-diagonalization;channel inversion;multiple antennas;maximum transmission rate;successive optimization;power minimization problem;transmitter-receiver processing;wireless LAN;SDMA","","2066","","30","","","","","IEEE","IEEE Journals"
"Basic concepts and taxonomy of dependable and secure computing","A. Avizienis; J. -. Laprie; B. Randell; C. Landwehr","Vytautas Magnus Univ., Kaunas, Lithuania; NA; NA; NA","IEEE Transactions on Dependable and Secure Computing","","2004","1","1","11","33","This paper gives the main definitions relating to dependability, a generic concept including a special case of such attributes as reliability, availability, safety, integrity, maintainability, etc. Security brings in concerns for confidentiality, in addition to availability and integrity. Basic definitions are given first. They are then commented upon, and supplemented by additional definitions, which address the threats to dependability and security (faults, errors, failures), their attributes, and the means for their achievement (fault prevention, fault tolerance, fault removal, fault forecasting). The aim is to explicate a set of general concepts, of relevance across a wide range of situations and, therefore, helping communication and cooperation among a number of scientific and technical communities, including ones that are concentrating on particular types of system, of system failures, or of causes of system failures.","1941-0018","","10.1109/TDSC.2004.2","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1335465","Index Terms- Dependability;security;trust;faults;errors;failures;vulnerabilities;attacks;fault tolerance;fault removal;fault forecasting.","Taxonomy;Availability;Fault tolerance;Safety;Maintenance;Communication system security;Uncertainty;Standardization;Books","fault tolerant computing;data privacy;security of data;system recovery;software reliability","taxonomy;dependable computing;secure computing;system reliability;system availability;system safety;system integrity;system maintainability;fault prevention;fault tolerance;fault removal;fault forecasting;system security;system failures;system vulnerabilities;system attacks","","2502","","70","","","","","IEEE","IEEE Journals"
"Unscented filtering and nonlinear estimation","S. J. Julier; J. K. Uhlmann","IDAK Ind., Jefferson City, MO, USA; NA","Proceedings of the IEEE","","2004","92","3","401","422","The extended Kalman filter (EKF) is probably the most widely used estimation algorithm for nonlinear systems. However, more than 35 years of experience in the estimation community has shown that is difficult to implement, difficult to tune, and only reliable for systems that are almost linear on the time scale of the updates. Many of these difficulties arise from its use of linearization. To overcome this limitation, the unscented transformation (UT) was developed as a method to propagate mean and covariance information through nonlinear transformations. It is more accurate, easier to implement, and uses the same order of calculations as linearization. This paper reviews the motivation, development, use, and implications of the UT.","1558-2256","","10.1109/JPROC.2003.823141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1271397","","Filtering;Nonlinear systems;Target tracking;Control systems;Particle tracking;Kalman filters;Vehicles;Navigation;Chemical processes;Nonlinear control systems","nonlinear estimation;covariance analysis;nonlinear systems;filtering theory;Kalman filters;nonlinear filters","unscented filtering;extended Kalman filter;nonlinear systems;unscented transformation;nonlinear transformations;nonlinear estimation;EKF","","3328","","52","","","","","IEEE","IEEE Journals"
"Particle swarm optimization in electromagnetics","J. Robinson; Y. Rahmat-Samii","Dept. of Electr. Eng., Univ. of California, Los Angeles, CA, USA; Dept. of Electr. Eng., Univ. of California, Los Angeles, CA, USA","IEEE Transactions on Antennas and Propagation","","2004","52","2","397","407","The particle swarm optimization (PSO), new to the electromagnetics community, is a robust stochastic evolutionary computation technique based on the movement and intelligence of swarms. This paper introduces a conceptual overview and detailed explanation of the PSO algorithm, as well as how it can be used for electromagnetic optimizations. This paper also presents several results illustrating the swarm behavior in a PSO algorithm developed by the authors at UCLA specifically for engineering optimizations (UCLA-PSO). Also discussed is recent progress in the development of the PSO and the special considerations needed for engineering implementation including suggestions for the selection of parameter values. Additionally, a study of boundary conditions is presented indicating the invisible wall technique outperforms absorbing and reflecting wall techniques. These concepts are then integrated into a representative example of optimization of a profiled corrugated horn antenna.","1558-2221","","10.1109/TAP.2004.823969","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1282114","","Particle swarm optimization;Stochastic processes;Evolutionary computation;Horn antennas;Genetic algorithms;Jacobian matrices;Electromagnetics;Robustness;Boundary conditions;Algorithm design and analysis","electromagnetism;evolutionary computation;antenna theory;genetic algorithms;horn antennas","particle swarm optimization;electromagnetics;stochastic evolutionary computation technique;UCLA;invisible wall technique;corrugated horn antenna;antenna design;genetic algorithm","","1293","","15","","","","","IEEE","IEEE Journals"
