"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Performance analysis of the IEEE 802.11 distributed coordination function","G. Bianchi","Dipt. di Ingegneria Elettrica, Palermo Univ., Italy","IEEE Journal on Selected Areas in Communications","","2000","18","3","535","547","The IEEE has standardized the 802.11 protocol for wireless local area networks. The primary medium access control (MAC) technique of 802.11 is called the distributed coordination function (DCF). The DCF is a carrier sense multiple access with collision avoidance (CSMA/CA) scheme with binary slotted exponential backoff. This paper provides a simple, but nevertheless extremely accurate, analytical model to compute the 802.11 DCF throughput, in the assumption of finite number of terminals and ideal channel conditions. The proposed analysis applies to both the packet transmission schemes employed by DCF, namely, the basic access and the RTS/CTS access mechanisms. In addition, it also applies to a combination of the two schemes, in which packets longer than a given threshold are transmitted according to the RTS/CTS mechanism. By means of the proposed model, we provide an extensive throughput performance evaluation of both access mechanisms of the 802.11 protocol.","1558-0008","","10.1109/49.840210","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840210","","Performance analysis;Access protocols;Media Access Protocol;Collision avoidance;Multiaccess communication;Analytical models;Wireless LAN;Throughput;Physical layer;Wireless application protocol","IEEE standards;carrier sense multiple access;telecommunication standards;standardisation;wireless LAN;packet radio networks","performance analysis;IEEE 802.11 distributed coordination function;standardization;IEEE 802.11 protocol;wireless local area networks;medium access control;MAC;DCF;carrier sense multiple access;collision avoidance;CSMA/CA;binary slotted exponential backoff;analytical model;terminals;ideal channel conditions;packet transmission;threshold;throughput performance evaluation","","5594","","13","","","","","IEEE","IEEE Journals"
"Statistical pattern recognition: a review","A. K. Jain; R. P. W. Duin; Jianchang Mao","Dept. of Comput. Sci. & Eng., Michigan State Univ., East Lansing, MI, USA; NA; NA","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2000","22","1","4","37","The primary goal of pattern recognition is supervised or unsupervised classification. Among the various frameworks in which pattern recognition has been traditionally formulated, the statistical approach has been most intensively studied and used in practice. More recently, neural network techniques and methods imported from statistical learning theory have been receiving increasing attention. The design of a recognition system requires careful attention to the following issues: definition of pattern classes, sensing environment, pattern representation, feature extraction and selection, cluster analysis, classifier design and learning, selection of training and test samples, and performance evaluation. In spite of almost 50 years of research and development in this field, the general problem of recognizing complex patterns with arbitrary orientation, location, and scale remains unsolved. New and emerging applications, such as data mining, web searching, retrieval of multimedia data, face recognition, and cursive handwriting recognition, require robust and efficient pattern recognition techniques. The objective of this review paper is to summarize and compare some of the well-known methods used in various stages of a pattern recognition system and identify research topics and applications which are at the forefront of this exciting and challenging field.","1939-3539","","10.1109/34.824819","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=824819","","Pattern recognition;Neural networks;Statistical learning;Feature extraction;Pattern analysis;Performance analysis;System testing;Research and development;Data mining;Information retrieval","pattern recognition;neural nets;Bayes methods;decision theory;learning (artificial intelligence);parameter estimation","statistical pattern recognition;unsupervised classification;supervised classification;neural network techniques;statistical learning theory;pattern classes;sensing environment;pattern representation;cluster analysis;classifier design;performance evaluation;complex patterns;data mining;web searching;multimedia data retrieval;cursive handwriting recognition","","3537","","176","","","","","IEEE","IEEE Journals"
"A flexible new technique for camera calibration","Z. Zhang","Microsoft Corp., Redmond, WA, USA","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2000","22","11","1330","1334","We propose a flexible technique to easily calibrate a camera. It only requires the camera to observe a planar pattern shown at a few (at least two) different orientations. Either the camera or the planar pattern can be freely moved. The motion need not be known. Radial lens distortion is modeled. The proposed procedure consists of a closed-form solution, followed by a nonlinear refinement based on the maximum likelihood criterion. Both computer simulation and real data have been used to test the proposed technique and very good results have been obtained. Compared with classical techniques which use expensive equipment such as two or three orthogonal planes, the proposed technique is easy to use and flexible. It advances 3D computer vision one more step from laboratory environments to real world use.","1939-3539","","10.1109/34.888718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=888718","","Cameras;Calibration;Computer vision;Layout;Lenses;Nonlinear distortion;Closed-form solution;Maximum likelihood estimation;Computer simulation;Testing","computer vision;calibration;image sensors;maximum likelihood estimation;matrix algebra;geometry;optimisation","camera calibration;flexible technique;planar pattern;radial lens distortion;maximum likelihood criterion;3D computer vision","","6121","","26","","","","","IEEE","IEEE Journals"
"Normalized cuts and image segmentation","Jianbo Shi; J. Malik","Robotics Inst., Carnegie Mellon Univ., Pittsburgh, PA, USA; NA","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2000","22","8","888","905","We propose a novel approach for solving the perceptual grouping problem in vision. Rather than focusing on local features and their consistencies in the image data, our approach aims at extracting the global impression of an image. We treat image segmentation as a graph partitioning problem and propose a novel global criterion, the normalized cut, for segmenting the graph. The normalized cut criterion measures both the total dissimilarity between the different groups as well as the total similarity within the groups. We show that an efficient computational technique based on a generalized eigenvalue problem can be used to optimize this criterion. We applied this approach to segmenting static images, as well as motion sequences, and found the results to be very encouraging.","1939-3539","","10.1109/34.868688","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=868688","","Image segmentation;Brightness;Clustering algorithms;Data mining;Eigenvalues and eigenfunctions;Bayesian methods;Coherence;Tree data structures;Filling;Partitioning algorithms","computer vision;image segmentation;graph theory;image sequences;eigenvalues and eigenfunctions","image segmentation;perceptual grouping;normalized cut;dissimilarity;similarity;eigenvalues;image sequences;computer vision;graph partitioning","","7071","","25","","","","","IEEE","IEEE Journals"
"IEEE Guide for Safety in AC Substation Grounding","","","IEEE Std 80-2000","","2000","","","1","192","Outdoor ac substations, either conventional or gas-insulated, are covered in this guide. Distribution, transmission, and generating plant substations are also included. With proper caution,the methods described herein are also applicable to indoor portions of such substations, or to sub-stations that are wholly indoors. No attempt is made to cover the grounding problems peculiar to dc substations. A quantitative analysis of the effects of lightning surges is also beyond the scope of this guide.","","978-0-7381-1927-4","10.1109/IEEESTD.2000.91902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=861340","ground grids;grounding;substation design;substation grounding","IEEE standards;AC machines;Substations;Electrical safety;Safety;Grounding;Power grids","","","","17","","165","","","","","IEEE","IEEE Standards"
"Energy-efficient communication protocol for wireless microsensor networks","W. R. Heinzelman; A. Chandrakasan; H. Balakrishnan","MIT, Cambridge, MA, USA; MIT, Cambridge, MA, USA; MIT, Cambridge, MA, USA","Proceedings of the 33rd Annual Hawaii International Conference on System Sciences","","2000","","","10 pp. vol.2","","Wireless distributed microsensor systems will enable the reliable monitoring of a variety of environments for both civil and military applications. In this paper, we look at communication protocols, which can have significant impact on the overall energy dissipation of these networks. Based on our findings that the conventional protocols of direct transmission, minimum-transmission-energy, multi-hop routing, and static clustering may not be optimal for sensor networks, we propose LEACH (Low-Energy Adaptive Clustering Hierarchy), a clustering-based protocol that utilizes randomized rotation of local cluster based station (cluster-heads) to evenly distribute the energy load among the sensors in the network. LEACH uses localized coordination to enable scalability and robustness for dynamic networks, and incorporates data fusion into the routing protocol to reduce the amount of information that must be transmitted to the base station. Simulations show the LEACH can achieve as much as a factor of 8 reduction in energy dissipation compared with conventional outing protocols. In addition, LEACH is able to distribute energy dissipation evenly throughout the sensors, doubling the useful system lifetime for the networks we simulated.","","0-7695-0493-0","10.1109/HICSS.2000.926982","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=926982","","Energy efficiency;Wireless application protocol;Wireless communication;Microsensors;Energy dissipation;Routing protocols;Telecommunication network reliability;Monitoring;Spread spectrum communication;Scalability","protocols;sensor fusion;military communication;microsensors;mobile radio;telecommunication network routing","energy-efficient communication protocol;wireless distributed microsensor system;reliable monitoring;civil applications;military applications;energy dissipation;LEACH;Low-Energy Adaptive Clustering Hierarchy;clustering-based protocol;randomized local cluster based station rotation;energy load distribution;localized coordination;scalability;robustness;dynamic networks;data fusion;routing protocol;simulations;useful system lifetime","","4780","","17","","","","","IEEE","IEEE Conferences"
"The unscented Kalman filter for nonlinear estimation","E. A. Wan; R. Van Der Merwe","Oregon Graduate Inst. of Sci. & Technol., Beaverton, OR, USA; NA","Proceedings of the IEEE 2000 Adaptive Systems for Signal Processing, Communications, and Control Symposium (Cat. No.00EX373)","","2000","","","153","158","This paper points out the flaws in using the extended Kalman filter (EKE) and introduces an improvement, the unscented Kalman filter (UKF), proposed by Julier and Uhlman (1997). A central and vital operation performed in the Kalman filter is the propagation of a Gaussian random variable (GRV) through the system dynamics. In the EKF the state distribution is approximated by a GRV, which is then propagated analytically through the first-order linearization of the nonlinear system. This can introduce large errors in the true posterior mean and covariance of the transformed GRV, which may lead to sub-optimal performance and sometimes divergence of the filter. The UKF addresses this problem by using a deterministic sampling approach. The state distribution is again approximated by a GRV, but is now represented using a minimal set of carefully chosen sample points. These sample points completely capture the true mean and covariance of the GRV, and when propagated through the true nonlinear system, captures the posterior mean and covariance accurately to the 3rd order (Taylor series expansion) for any nonlinearity. The EKF in contrast, only achieves first-order accuracy. Remarkably, the computational complexity of the UKF is the same order as that of the EKF. Julier and Uhlman demonstrated the substantial performance gains of the UKF in the context of state-estimation for nonlinear control. Machine learning problems were not considered. We extend the use of the UKF to a broader class of nonlinear estimation problems, including nonlinear system identification, training of neural networks, and dual estimation problems. In this paper, the algorithms are further developed and illustrated with a number of additional examples.","","0-7803-5800-7","10.1109/ASSPCC.2000.882463","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=882463","","Nonlinear systems;Random variables;Nonlinear dynamical systems;Filters;Sampling methods;Taylor series;Computational complexity;Performance gain;Machine learning;Neural networks","adaptive Kalman filters;parameter estimation;filtering theory;nonlinear systems;state estimation;nonlinear estimation;learning (artificial intelligence);covariance analysis;computational complexity","unscented Kalman filter;nonlinear estimation;extended Kalman filter;Gaussian random variable;system dynamics;state distribution;nonlinear system;covariance;deterministic sampling approach;sample points;posterior mean;computational complexity;state-estimation;nonlinear control;machine learning;nonlinear system identification;neural networks training;dual estimation problems","","1190","","13","","","","","IEEE","IEEE Conferences"
"FinFET-a self-aligned double-gate MOSFET scalable to 20 nm","D. Hisamoto; Wen-Chin Lee; J. Kedzierski; H. Takeuchi; K. Asano; C. Kuo; E. Anderson; Tsu-Jae King; J. Bokor; Chenming Hu","Central Res. Lab., Hitachi Ltd., Tokyo, Japan; NA; NA; NA; NA; NA; NA; NA; NA; NA","IEEE Transactions on Electron Devices","","2000","47","12","2320","2325","MOSFETs with gate length down to 17 nm are reported. To suppress the short channel effect, a novel self-aligned double-gate MOSFET, FinFET, is proposed. By using boron-doped Si/sub 0.4/Ge/sub 0.6/ as a gate material, the desired threshold voltage was achieved for the ultrathin body device. The quasiplanar nature of this new variant of the vertical double-gate MOSFETs can be fabricated relatively easily using the conventional planar MOSFET process technologies.","1557-9646","","10.1109/16.887014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=887014","","MOSFETs","MOSFET;Ge-Si alloys;boron","FinFET;self-aligned double-gate MOSFET;Si/sub 0.4/Ge/sub 0.6/:B;threshold voltage;ultrathin body device;quasiplanar nature;vertical double-gate MOSFETs;20 nm","","954","","13","","","","","IEEE","IEEE Journals"
"The capacity of wireless networks","P. Gupta; P. R. Kumar","Coordinated Sci. Lab., Illinois Univ., Urbana, IL, USA; NA","IEEE Transactions on Information Theory","","2000","46","2","388","404","When n identical randomly located nodes, each capable of transmitting at W bits per second and using a fixed range, form a wireless network, the throughput /spl lambda/(n) obtainable by each node for a randomly chosen destination is /spl Theta/(W//spl radic/(nlogn)) bits per second under a noninterference protocol. If the nodes are optimally placed in a disk of unit area, traffic patterns are optimally assigned, and each transmission's range is optimally chosen, the bit-distance product that can be transported by the network per second is /spl Theta/(W/spl radic/An) bit-meters per second. Thus even under optimal circumstances, the throughput is only /spl Theta/(W//spl radic/n) bits per second for each node for a destination nonvanishingly far away. Similar results also hold under an alternate physical model where a required signal-to-interference ratio is specified for successful receptions. Fundamentally, it is the need for every node all over the domain to share whatever portion of the channel it is utilizing with nodes in its local neighborhood that is the reason for the constriction in capacity. Splitting the channel into several subchannels does not change any of the results. Some implications may be worth considering by designers. Since the throughput furnished to each user diminishes to zero as the number of users is increased, perhaps networks connecting smaller numbers of users, or featuring connections mostly with nearby neighbors, may be more likely to be find acceptance.","1557-9654","","10.1109/18.825799","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=825799","","Information rates","channel capacity;protocols;telecommunication traffic;packet radio networks;telecommunication network routing","wireless network capacity;identical randomly located nodes;throughput;noninterference protocol;unit area disk;traffic patterns;transmission range;bit-distance product;physical model;signal-to-interference ratio;successful receptions;data packets routing;arbitrary networks;random networks","","5484","","18","","","","","IEEE","IEEE Journals"
"Content-based image retrieval at the end of the early years","A. W. M. Smeulders; M. Worring; S. Santini; A. Gupta; R. Jain","Amsterdam Univ., Netherlands; NA; NA; NA; NA","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2000","22","12","1349","1380","Presents a review of 200 references in content-based image retrieval. The paper starts with discussing the working conditions of content-based retrieval: patterns of use, types of pictures, the role of semantics, and the sensory gap. Subsequent sections discuss computational steps for image retrieval systems. Step one of the review is image processing for retrieval sorted by color, texture, and local geometry. Features for retrieval are discussed next, sorted by: accumulative and global features, salient points, object and shape features, signs, and structural combinations thereof. Similarity of pictures and objects in pictures is reviewed for each of the feature types, in close connection to the types and means of feedback the user of the systems is capable of giving by interaction. We briefly discuss aspects of system engineering: databases, system architecture, and evaluation. In the concluding section, we present our view on: the driving force of the field, the heritage from computer vision, the influence on computer vision, the role of similarity and of interaction, the need for databases, the problem of evaluation, and the role of the semantic gap.","1939-3539","","10.1109/34.895972","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=895972","","Image retrieval;Content based retrieval;Computer vision;Employee welfare;Image processing;Color;Geometry;Shape;Feedback;Data engineering","content-based retrieval;image retrieval;reviews;image texture;image colour analysis;computer vision;visual databases;image segmentation","content-based image retrieval;use patterns;semantics;sensory gap;local geometry;global features;accumulative features;salient points;pictures;system engineering;databases;system architecture;similarity;semantic gap","","3427","","201","","","","","IEEE","IEEE Journals"
