"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Compressed sensing","D. L. Donoho","Dept. of Stat., Stanford Univ., CA, USA","IEEE Transactions on Information Theory","","2006","52","4","1289","1306","Suppose x is an unknown vector in Ropfm (a digital image or signal); we plan to measure n general linear functionals of x and then reconstruct. If x is known to be compressible by transform coding with a known transform, and we reconstruct via the nonlinear procedure defined here, the number of measurements n can be dramatically smaller than the size m. Thus, certain natural classes of images with m pixels need only n=O(m1/4log5/2(m)) nonadaptive nonpixel samples for faithful recovery, as opposed to the usual m pixel samples. More specifically, suppose x has a sparse representation in some orthonormal basis (e.g., wavelet, Fourier) or tight frame (e.g., curvelet, Gabor)-so the coefficients belong to an lscrp ball for 0<ples1. The N most important coefficients in that expansion allow reconstruction with lscr2 error O(N1/2-1p/). It is possible to design n=O(Nlog(m)) nonadaptive measurements allowing reconstruction with accuracy comparable to that attainable with direct knowledge of the N most important coefficients. Moreover, a good approximation to those N important coefficients is extracted from the n measurements by solving a linear program-Basis Pursuit in signal processing. The nonadaptive measurements have the character of ""random"" linear combinations of basis/frame elements. Our results use the notions of optimal recovery, of n-widths, and information-based complexity. We estimate the Gel'fand n-widths of lscrp balls in high-dimensional Euclidean space in the case 0<ples1, and give a criterion identifying near- optimal subspaces for Gel'fand n-widths. We show that ""most"" subspaces are near-optimal, and show that convex optimization (Basis Pursuit) is a near-optimal way to extract information derived from these near-optimal subspaces","1557-9654","","10.1109/TIT.2006.871582","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1614066","Adaptive sampling;almost-spherical sections of Banach spaces;Basis Pursuit;eigenvalues of random matrices;Gel'fand;information-based complexity;integrated sensing and processing;minimum;optimal recovery;Quotient-of-a-Subspace theorem;sparse solution of linear equations","Compressed sensing;Image reconstruction;Pixel;Vectors;Digital images;Image coding;Transform coding;Size measurement;Signal processing;Data mining","convex programming;data compression;image coding;image reconstruction;image sampling;image sensors;sparse matrices;transform coding","sensing compression;general linear functional measurement;transform coding;image reconstruction;nonadaptive nonpixel sampling;sparse representation;signal processing;Euclidean space;convex optimization","","14613","","47","","","","","IEEE","IEEE Journals"
"Power-Electronic Systems for the Grid Integration of Renewable Energy Sources: A Survey","J. M. Carrasco; L. G. Franquelo; J. T. Bialasiewicz; E. Galvan; R. C. PortilloGuisado; M. A. M. Prats; J. I. Leon; N. Moreno-Alfonso","Dept. of Electron. Eng., Univ. of Seville; Dept. of Electron. Eng., Univ. of Seville; NA; NA; NA; NA; NA; NA","IEEE Transactions on Industrial Electronics","","2006","53","4","1002","1016","The use of distributed energy resources is increasingly being pursued as a supplement and an alternative to large conventional central power stations. The specification of a power-electronic interface is subject to requirements related not only to the renewable energy source itself but also to its effects on the power-system operation, especially where the intermittent energy source constitutes a significant part of the total system capacity. In this paper, new trends in power electronics for the integration of wind and photovoltaic (PV) power generators are presented. A review of the appropriate storage-system technology used for the integration of intermittent renewable energy sources is also introduced. Discussions about common and future trends in renewable energy systems based on reliability and maturity of each technology are presented","1557-9948","","10.1109/TIE.2006.878356","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1667898","Direct drives;doubly fed induction generator (DFIG);flywheel;hydrogen;multilevel converter topologies;supercapacitors;superconducting magnetic energy storage (SMES);wind diesel","Renewable energy resources;Power generation;Energy resources;Power electronics;Wind power generation;Photovoltaic systems;Solar power generation;Wind energy generation;Energy storage;Appropriate technology","photovoltaic power systems;power electronics;power grids;renewable energy sources;wind power plants","power electronic interface;grid integration;renewable energy sources;distributed energy resources;central power stations;power system operation;intermittent energy source;wind power generators;photovoltaic power generators","","2245","","69","","","","","IEEE","IEEE Journals"
"Overview of Control and Grid Synchronization for Distributed Power Generation Systems","F. Blaabjerg; R. Teodorescu; M. Liserre; A. V. Timbus","Inst. of Energy Technol., Aalborg Univ.; Inst. of Energy Technol., Aalborg Univ.; NA; NA","IEEE Transactions on Industrial Electronics","","2006","53","5","1398","1409","Renewable energy sources like wind, sun, and hydro are seen as a reliable alternative to the traditional energy sources such as oil, natural gas, or coal. Distributed power generation systems (DPGSs) based on renewable energy sources experience a large development worldwide, with Germany, Denmark, Japan, and USA as leaders in the development in this field. Due to the increasing number of DPGSs connected to the utility network, new and stricter standards in respect to power quality, safe running, and islanding protection are issued. As a consequence, the control of distributed generation systems should be improved to meet the requirements for grid interconnection. This paper gives an overview of the structures for the DPGS based on fuel cell, photovoltaic, and wind turbines. In addition, control structures of the grid-side converter are presented, and the possibility of compensation for low-order harmonics is also discussed. Moreover, control strategies when running on grid faults are treated. This paper ends up with an overview of synchronization methods and a discussion about their importance in the control","1557-9948","","10.1109/TIE.2006.881997","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1705631","Control strategies;distributed power generation;grid converter control;grid disturbances;grid synchronization","Control systems;Distributed power generation;Photovoltaic systems;Wind energy generation;Wind power generation;Renewable energy resources;Distributed control;Wind energy;Sun;Power system reliability","distributed power generation;power distribution control;power distribution faults;power distribution protection;power grids;power supply quality;power system harmonics;safety;synchronisation","grid synchronization;distributed power generation;renewable energy sources;Germany;Denmark;Japan;USA;power quality;safety;islanding protection;fuel cell;photovoltaics;wind turbines;grid-side converter;low-order harmonics compensation;fault treatment","","2741","","67","","","","","IEEE","IEEE Journals"
"Robust uncertainty principles: exact signal reconstruction from highly incomplete frequency information","E. J. Candes; J. Romberg; T. Tao","Dept. of Appl. & Comput. Math., California Inst. of Technol., Pasadena, CA, USA; Dept. of Appl. & Comput. Math., California Inst. of Technol., Pasadena, CA, USA; NA","IEEE Transactions on Information Theory","","2006","52","2","489","509","This paper considers the model problem of reconstructing an object from incomplete frequency samples. Consider a discrete-time signal f/spl isin/C/sup N/ and a randomly chosen set of frequencies /spl Omega/. Is it possible to reconstruct f from the partial knowledge of its Fourier coefficients on the set /spl Omega/? A typical result of this paper is as follows. Suppose that f is a superposition of |T| spikes f(t)=/spl sigma//sub /spl tau//spl isin/T/f(/spl tau/)/spl delta/(t-/spl tau/) obeying |T|/spl les/C/sub M//spl middot/(log N)/sup -1/ /spl middot/ |/spl Omega/| for some constant C/sub M/>0. We do not know the locations of the spikes nor their amplitudes. Then with probability at least 1-O(N/sup -M/), f can be reconstructed exactly as the solution to the /spl lscr//sub 1/ minimization problem. In short, exact recovery may be obtained by solving a convex optimization problem. We give numerical values for C/sub M/ which depend on the desired probability of success. Our result may be interpreted as a novel kind of nonlinear sampling theorem. In effect, it says that any signal made out of |T| spikes may be recovered by convex programming from almost every set of frequencies of size O(|T|/spl middot/logN). Moreover, this is nearly optimal in the sense that any method succeeding with probability 1-O(N/sup -M/) would in general require a number of frequency samples at least proportional to |T|/spl middot/logN. The methodology extends to a variety of other situations and higher dimensions. For example, we show how one can reconstruct a piecewise constant (one- or two-dimensional) object from incomplete frequency samples - provided that the number of jumps (discontinuities) obeys the condition above - by minimizing other convex functionals such as the total variation of f.","1557-9654","","10.1109/TIT.2005.862083","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1580791","Convex optimization;duality in optimization;free probability;image reconstruction;linear programming;random matrices;sparsity;total-variation minimization;trigonometric expansions;uncertainty principle","Robustness;Uncertainty;Signal reconstruction;Frequency;Image reconstruction;Mathematics;Biomedical imaging;Sampling methods;Linear programming;Signal processing","image reconstruction;linear programming;convex programming;minimisation;Fourier analysis;image sampling;piecewise constant techniques;probability;sparse matrices;indeterminancy;signal reconstruction;signal sampling","robust uncertainty principle;signal reconstruction;incomplete frequency information;discrete-time signal;Fourier coefficient;minimization problem;convex optimization;image reconstruction;linear programming;sparse random matrix;trigonometric expansion;nonlinear sampling theorem;piecewise constant object;probability value","","8707","","31","","","","","IEEE","IEEE Journals"
"Simultaneous localization and mapping: part I","H. Durrant-Whyte; T. Bailey","Australian Centre for Field Robotics, Sydney Univ., NSW, Australia; NA","IEEE Robotics & Automation Magazine","","2006","13","2","99","110","This paper describes the simultaneous localization and mapping (SLAM) problem and the essential methods for solving the SLAM problem and summarizes key implementations and demonstrations of the method. While there are still many practical issues to overcome, especially in more complex outdoor environments, the general SLAM method is now a well understood and established part of robotics. Another part of the tutorial summarized more recent works in addressing some of the remaining issues in SLAM, including computation, feature representation, and data association","1558-223X","","10.1109/MRA.2006.1638022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1638022","","Simultaneous localization and mapping;Mobile robots;Robotics and automation;History;Artificial intelligence;Navigation;Vehicles;Buildings;Bayesian methods;Particle filters","mobile robots;path planning","simultaneous localization and mapping problem;mobile robots;SLAM problem","","1800","","45","","","","","IEEE","IEEE Magazines"
"K-SVD: An algorithm for designing overcomplete dictionaries for sparse representation","M. Aharon; M. Elad; A. Bruckstein","Dept. of Comput. Sci., Technion-Israel Inst. of Technol., Haifa; Dept. of Comput. Sci., Technion-Israel Inst. of Technol., Haifa; Dept. of Comput. Sci., Technion-Israel Inst. of Technol., Haifa","IEEE Transactions on Signal Processing","","2006","54","11","4311","4322","In recent years there has been a growing interest in the study of sparse representation of signals. Using an overcomplete dictionary that contains prototype signal-atoms, signals are described by sparse linear combinations of these atoms. Applications that use sparse representation are many and include compression, regularization in inverse problems, feature extraction, and more. Recent activity in this field has concentrated mainly on the study of pursuit algorithms that decompose signals with respect to a given dictionary. Designing dictionaries to better fit the above model can be done by either selecting one from a prespecified set of linear transforms or adapting the dictionary to a set of training signals. Both of these techniques have been considered, but this topic is largely still open. In this paper we propose a novel algorithm for adapting dictionaries in order to achieve sparse signal representations. Given a set of training signals, we seek the dictionary that leads to the best representation for each member in this set, under strict sparsity constraints. We present a new method-the K-SVD algorithm-generalizing the K-means clustering process. K-SVD is an iterative method that alternates between sparse coding of the examples based on the current dictionary and a process of updating the dictionary atoms to better fit the data. The update of the dictionary columns is combined with an update of the sparse representations, thereby accelerating convergence. The K-SVD algorithm is flexible and can work with any pursuit method (e.g., basis pursuit, FOCUSS, or matching pursuit). We analyze this algorithm and demonstrate its results both on synthetic tests and in applications on real image data","1941-0476","","10.1109/TSP.2006.881199","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1710377","Atom decomposition;basis pursuit;codebook;dictionary;FOCUSS;gain-shape VQ;matching pursuit;sparse representation;training;vector quantization","Algorithm design and analysis;Dictionaries;Matching pursuit algorithms;Pursuit algorithms;Clustering algorithms;Iterative algorithms;Prototypes;Inverse problems;Feature extraction;Signal design","image coding;image representation;iterative methods;singular value decomposition;transforms","signals sparse representation;linear transforms;sparsity constraints;K-SVD;K-means clustering process;iterative method;sparse coding;overcomplete dictionary;image data","","5193","","47","","","","","IEEE","IEEE Journals"
"Face Description with Local Binary Patterns: Application to Face Recognition","T. Ahonen; A. Hadid; M. Pietikainen","Dept. of Electr. & Inf. Eng., Oulu Univ.; Dept. of Electr. & Inf. Eng., Oulu Univ.; Dept. of Electr. & Inf. Eng., Oulu Univ.","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2006","28","12","2037","2041","This paper presents a novel and efficient facial image representation based on local binary pattern (LBP) texture features. The face image is divided into several regions from which the LBP feature distributions are extracted and concatenated into an enhanced feature vector to be used as a face descriptor. The performance of the proposed method is assessed in the face recognition problem under different challenges. Other applications and several extensions are also discussed","1939-3539","","10.1109/TPAMI.2006.244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1717463","Facial image representation;local binary pattern;component-based face recognition;texture features;face misalignment.","Face recognition;Face detection;Principal component analysis;Image texture analysis;Data mining;Image representation;Feature extraction;Linear discriminant analysis;Robustness;Lighting","face recognition;feature extraction;image representation;image texture","face description;local binary patterns;facial image representation;texture features;face image;feature distributions;component-based face recognition;face misalignment","Algorithms;Artificial Intelligence;Biometry;Face;Humans;Image Enhancement;Image Interpretation, Computer-Assisted;Information Storage and Retrieval;Numerical Analysis, Computer-Assisted;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Signal Processing, Computer-Assisted","3281","","28","","","","","IEEE","IEEE Journals"
"An introduction to RFID technology","R. Want","Intel Res., Santa Clara, CA, USA","IEEE Pervasive Computing","","2006","5","1","25","33","In recent years, radio frequency identification technology has moved from obscurity into mainstream applications that help speed the handling of manufactured goods and materials. RFID enables identification from a distance, and unlike earlier bar-code technology, it does so without requiring a line of sight. In this paper, the author introduces the principles of RFID, discusses its primary technologies and applications, and reviews the challenges organizations will face in deploying this technology.","1558-2590","","10.1109/MPRV.2006.2","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1593568","Radio frequency identification (RFID);electronic tagging;automatic identification","Radiofrequency identification;Manufacturing;Costs;Large-scale systems;Batteries;Encapsulation;RFID tags;Intrusion detection;Environmental factors;Temperature","radiofrequency identification","RFID technology;radio frequency identification;mainstream applications","","847","","10","","","","","IEEE","IEEE Magazines"
"Defining control strategies for MicroGrids islanded operation","J. A. P. Lopes; C. L. Moreira; A. G. Madureira","FEUP-Faculdade de Engenharia, Porto Univ., Portugal; FEUP-Faculdade de Engenharia, Porto Univ., Portugal; FEUP-Faculdade de Engenharia, Porto Univ., Portugal","IEEE Transactions on Power Systems","","2006","21","2","916","924","This paper describes and evaluates the feasibility of control strategies to be adopted for the operation of a microgrid when it becomes isolated. Normally, the microgrid operates in interconnected mode with the medium voltage network; however, scheduled or forced isolation can take place. In such conditions, the microgrid must have the ability to operate stably and autonomously. An evaluation of the need of storage devices and load shedding strategies is included in this paper.","1558-0679","","10.1109/TPWRS.2006.873018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1626398","Dynamic response;energy storage;frequency control;microgrid;power system dynamic stability;voltage control","Power system reliability;Mesh generation;Power generation;Cogeneration;Synchronous generators;Inverters;Energy storage;Frequency control;Voltage control;Density estimation robust algorithm","distributed power generation;power distribution control;power generation control;power system interconnection;load shedding","control strategy;microgrid islanded operation;interconnected mode;medium voltage network;storage devices;load shedding strategy","","1367","","21","","","","","IEEE","IEEE Journals"
"Accurate electrical battery model capable of predicting runtime and I-V performance","Min Chen; G. A. Rincon-Mora","Sch. of Electr. & Comput. Eng., Georgia Inst. of Technol., Atlanta, GA, USA; Sch. of Electr. & Comput. Eng., Georgia Inst. of Technol., Atlanta, GA, USA","IEEE Transactions on Energy Conversion","","2006","21","2","504","511","Low power dissipation and maximum battery runtime are crucial in portable electronics. With accurate and efficient circuit and battery models in hand, circuit designers can predict and optimize battery runtime and circuit performance. In this paper, an accurate, intuitive, and comprehensive electrical battery model is proposed and implemented in a Cadence environment. This model accounts for all dynamic characteristics of the battery, from nonlinear open-circuit voltage, current-, temperature-, cycle number-, and storage time-dependent capacity to transient response. A simplified model neglecting the effects of self-discharge, cycle number, and temperature, which are nonconsequential in low-power Li-ion-supplied applications, is validated with experimental data on NiMH and polymer Li-ion batteries. Less than 0.4% runtime error and 30-mV maximum error voltage show that the proposed model predicts both the battery runtime and I-V performance accurately. The model can also be easily extended to other battery and power sourcing technologies.","1558-0059","","10.1109/TEC.2006.874229","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1634598","Batteries;cadence simulation;electrical model;nickel-metal hydride battery;polymer lithium-ion battery;runtime prediction;test system","Batteries;Predictive models;Runtime;Voltage;Power dissipation;Design optimization;Circuit optimization;Transient response;Temperature;Polymers","secondary cells;transient response;lithium","electrical battery model;low power dissipation;battery runtime;portable electronics;open-circuit voltage;circuit designers;Cadence environment;nonlinear open-circuit voltage;storage time-dependent capacity;transient response;Li-ion batteries;power sourcing technology","","1165","","30","","","","","IEEE","IEEE Journals"
